student_dim_id,sis_user_id,student_label,export_id,canvas_gradebook_section,graduation_year,graduation_year_suffix,cohort_label,entry_school_year,entry_school_year_offset,graduation_school_year,graduation_school_year_offset,attendance_category,attendance_probability,latest_academic_profile_status,latest_posterior_readiness,latest_latent_readiness,latest_present_score
13,SYN-SIS-000013,Synthetic Student 013,SYN-EXP-000013,Section A,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.9348,updated_assignment_06,83.75867233019756,84.6849,86.5
14,SYN-SIS-000014,Synthetic Student 014,SYN-EXP-000014,Section B,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.9298,updated_assignment_06,54.87705121337819,55.0548,54.23
15,SYN-SIS-000015,Synthetic Student 015,SYN-EXP-000015,Section C,2027,27,class_of_2027,2025-2026,0,2026-2027,1,high,0.9941,updated_assignment_04,47.8754981525248,48.6184,48.41
16,SYN-SIS-000016,Synthetic Student 016,SYN-EXP-000016,Section D,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9885,updated_assignment_08,85.55435783865116,88.5616,87.94
17,SYN-SIS-000017,Synthetic Student 017,SYN-EXP-000017,Section A,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9973,updated_assignment_08,45.08127370333236,42.7859,45.62
18,SYN-SIS-000018,Synthetic Student 018,SYN-EXP-000018,Section B,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.9273,updated_assignment_06,89.8029176246048,90.423,90.71
19,SYN-SIS-000019,Synthetic Student 019,SYN-EXP-000019,Section C,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9846,updated_assignment_08,47.16806380587401,44.5501,47.4
20,SYN-SIS-000020,Synthetic Student 020,SYN-EXP-000020,Section D,2027,27,class_of_2027,2025-2026,0,2026-2027,1,high,0.9499,updated_assignment_04,88.68882149142979,87.7923,90.55
21,SYN-SIS-000021,Synthetic Student 021,SYN-EXP-000021,Section A,2027,27,class_of_2027,2025-2026,0,2026-2027,1,high,0.9874,updated_assignment_04,90.81979464552138,91.3137,91.97
22,SYN-SIS-000022,Synthetic Student 022,SYN-EXP-000022,Section B,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.9218,updated_assignment_08,78.50471560080054,75.9975,80.21
23,SYN-SIS-000023,Synthetic Student 023,SYN-EXP-000023,Section C,2028,28,class_of_2028,2025-2026,0,2027-2028,2,high,0.9807,updated_assignment_06,78.42885831226442,80.0258,78.96
24,SYN-SIS-000024,Synthetic Student 024,SYN-EXP-000024,Section D,2026,26,class_of_2026,2025-2026,0,2025-2026,0,high,0.9678,updated_assignment_02,67.24861539387634,64.4759,68.87
25,SYN-SIS-000025,Synthetic Student 025,SYN-EXP-000025,Section A,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.9128,updated_assignment_08,81.41193458788602,82.9463,82.71
26,SYN-SIS-000026,Synthetic Student 026,SYN-EXP-000026,Section B,2028,28,class_of_2028,2025-2026,0,2027-2028,2,at_risk,0.7479,updated_assignment_06,54.63777324769467,52.5437,55.47
27,SYN-SIS-000027,Synthetic Student 027,SYN-EXP-000027,Section C,2028,28,class_of_2028,2025-2026,0,2027-2028,2,high,0.9819,updated_assignment_06,80.65572737225712,83.2138,81.41
28,SYN-SIS-000028,Synthetic Student 028,SYN-EXP-000028,Section D,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.9226,updated_assignment_06,61.92616184997137,63.6812,62.61
29,SYN-SIS-000029,Synthetic Student 029,SYN-EXP-000029,Section A,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.981,updated_assignment_08,57.177603426587275,57.4258,58.25
30,SYN-SIS-000030,Synthetic Student 030,SYN-EXP-000030,Section B,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.8769,updated_assignment_06,87.06233851364166,84.1257,88.14
31,SYN-SIS-000031,Synthetic Student 031,SYN-EXP-000031,Section C,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9838,updated_assignment_08,77.60385430331644,80.9603,78.65
32,SYN-SIS-000032,Synthetic Student 032,SYN-EXP-000032,Section D,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9886,updated_assignment_08,79.22238872920137,81.7064,79.04
33,SYN-SIS-000033,Synthetic Student 033,SYN-EXP-000033,Section A,2028,28,class_of_2028,2025-2026,0,2027-2028,2,at_risk,0.669,observed_readiness_unchanged_absent,49.81263614064833,55.3986,49.6
34,SYN-SIS-000034,Synthetic Student 034,SYN-EXP-000034,Section B,2026,26,class_of_2026,2025-2026,0,2025-2026,0,high,0.9902,updated_assignment_02,98.09220724881095,100.0,100.0
35,SYN-SIS-000035,Synthetic Student 035,SYN-EXP-000035,Section C,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9754,updated_assignment_08,31.350857143042607,31.5689,30.99
36,SYN-SIS-000036,Synthetic Student 036,SYN-EXP-000036,Section D,2026,26,class_of_2026,2025-2026,0,2025-2026,0,normal,0.9536,updated_assignment_02,73.68254553656361,74.6208,75.66
37,SYN-SIS-000037,Synthetic Student 037,SYN-EXP-000037,Section A,2027,27,class_of_2027,2025-2026,0,2026-2027,1,high,0.9892,updated_assignment_04,47.95022226726944,51.9132,47.69
38,SYN-SIS-000038,Synthetic Student 038,SYN-EXP-000038,Section B,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.9223,observed_readiness_unchanged_absent,68.51352899925939,71.1883,69.46
39,SYN-SIS-000039,Synthetic Student 039,SYN-EXP-000039,Section C,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.8871,observed_readiness_unchanged_absent,53.46462910396471,56.2367,54.13
40,SYN-SIS-000040,Synthetic Student 040,SYN-EXP-000040,Section D,2026,26,class_of_2026,2025-2026,0,2025-2026,0,high,0.8699,updated_assignment_02,84.76409800386445,87.6559,86.66
41,SYN-SIS-000041,Synthetic Student 041,SYN-EXP-000041,Section A,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.9126,updated_assignment_04,64.50230856316884,67.8313,65.71
42,SYN-SIS-000042,Synthetic Student 042,SYN-EXP-000042,Section B,2026,26,class_of_2026,2025-2026,0,2025-2026,0,normal,0.9449,updated_assignment_02,85.90249589328181,89.6311,87.41
43,SYN-SIS-000043,Synthetic Student 043,SYN-EXP-000043,Section C,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.9209,updated_assignment_04,82.87132499636321,78.4596,84.84
44,SYN-SIS-000044,Synthetic Student 044,SYN-EXP-000044,Section D,2026,26,class_of_2026,2025-2026,0,2025-2026,0,high,0.9765,updated_assignment_02,34.9979432773484,38.8194,34.47
45,SYN-SIS-000045,Synthetic Student 045,SYN-EXP-000045,Section A,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9795,updated_assignment_08,63.35620209261003,63.3348,64.37
46,SYN-SIS-000046,Synthetic Student 046,SYN-EXP-000046,Section B,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.9265,observed_readiness_unchanged_absent,60.22549110511316,71.2077,60.67
47,SYN-SIS-000047,Synthetic Student 047,SYN-EXP-000047,Section C,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.9333,updated_assignment_04,89.97869874250702,88.9074,91.45
48,SYN-SIS-000048,Synthetic Student 048,SYN-EXP-000048,Section D,2026,26,class_of_2026,2025-2026,0,2025-2026,0,normal,0.9321,updated_assignment_02,54.231541077586215,55.5036,55.24
49,SYN-SIS-000049,Synthetic Student 049,SYN-EXP-000049,Section A,2026,26,class_of_2026,2025-2026,0,2025-2026,0,normal,0.8112,initialized_assignment_02,89.51505344827586,96.2613,95.6
50,SYN-SIS-000050,Synthetic Student 050,SYN-EXP-000050,Section B,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.9275,updated_assignment_08,38.53019833336748,42.1222,38.18
51,SYN-SIS-000051,Synthetic Student 051,SYN-EXP-000051,Section C,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9473,observed_readiness_unchanged_absent,71.31358054297954,70.0047,71.51
52,SYN-SIS-000052,Synthetic Student 052,SYN-EXP-000052,Section D,2028,28,class_of_2028,2025-2026,0,2027-2028,2,high,0.9429,updated_assignment_06,74.28477632284535,72.8381,75.75
53,SYN-SIS-000053,Synthetic Student 053,SYN-EXP-000053,Section A,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9547,updated_assignment_08,97.46847347641909,97.0791,98.87
54,SYN-SIS-000054,Synthetic Student 054,SYN-EXP-000054,Section B,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.9074,updated_assignment_08,39.95307220010378,36.3716,39.95
55,SYN-SIS-000055,Synthetic Student 055,SYN-EXP-000055,Section C,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.9568,observed_readiness_unchanged_absent,76.81048915393187,74.2343,77.69
56,SYN-SIS-000056,Synthetic Student 056,SYN-EXP-000056,Section D,2026,26,class_of_2026,2025-2026,0,2025-2026,0,high,0.9938,updated_assignment_02,61.153854395065395,57.8798,62.31
57,SYN-SIS-000057,Synthetic Student 057,SYN-EXP-000057,Section A,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.9385,updated_assignment_08,72.28273981432234,78.3393,72.59
58,SYN-SIS-000058,Synthetic Student 058,SYN-EXP-000058,Section B,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.946,updated_assignment_08,64.26284704517384,61.5676,64.84
59,SYN-SIS-000059,Synthetic Student 059,SYN-EXP-000059,Section C,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.8499,updated_assignment_06,30.548080846823098,27.7396,30.68
60,SYN-SIS-000060,Synthetic Student 060,SYN-EXP-000060,Section D,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.9522,updated_assignment_04,52.12856211579101,50.3862,52.59
61,SYN-SIS-000061,Synthetic Student 061,SYN-EXP-000061,Section A,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.9352,updated_assignment_06,34.16949609159883,36.8475,34.34
62,SYN-SIS-000062,Synthetic Student 062,SYN-EXP-000062,Section B,2029,29,class_of_2029,2025-2026,0,2028-2029,3,at_risk,0.6847,observed_readiness_unchanged_absent,71.17399929873831,72.8455,70.99
63,SYN-SIS-000063,Synthetic Student 063,SYN-EXP-000063,Section C,2028,28,class_of_2028,2025-2026,0,2027-2028,2,high,0.9919,updated_assignment_06,50.31818725171578,52.5106,51.31
64,SYN-SIS-000064,Synthetic Student 064,SYN-EXP-000064,Section D,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.9531,updated_assignment_04,31.0003544062278,32.0365,30.64
65,SYN-SIS-000065,Synthetic Student 065,SYN-EXP-000065,Section A,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.9346,updated_assignment_08,38.16841957197468,37.4129,38.79
66,SYN-SIS-000066,Synthetic Student 066,SYN-EXP-000066,Section B,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.9383,updated_assignment_06,68.42482475855812,65.9763,69.07
67,SYN-SIS-000067,Synthetic Student 067,SYN-EXP-000067,Section C,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.8651,updated_assignment_06,43.34015673242621,48.1582,43.82
68,SYN-SIS-000068,Synthetic Student 068,SYN-EXP-000068,Section D,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.9422,updated_assignment_04,72.51154947760757,78.4894,73.06
69,SYN-SIS-000069,Synthetic Student 069,SYN-EXP-000069,Section A,2028,28,class_of_2028,2025-2026,0,2027-2028,2,high,0.9922,updated_assignment_06,61.99345698620691,59.3829,62.52
70,SYN-SIS-000070,Synthetic Student 070,SYN-EXP-000070,Section B,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.8939,updated_assignment_08,59.64738206338715,64.2476,59.46
71,SYN-SIS-000071,Synthetic Student 071,SYN-EXP-000071,Section C,2027,27,class_of_2027,2025-2026,0,2026-2027,1,high,0.9882,updated_assignment_04,39.739310831137615,41.4871,40.11
72,SYN-SIS-000072,Synthetic Student 072,SYN-EXP-000072,Section D,2027,27,class_of_2027,2025-2026,0,2026-2027,1,high,0.9957,updated_assignment_04,33.03621565276251,29.5156,33.52
73,SYN-SIS-000073,Synthetic Student 073,SYN-EXP-000073,Section A,2028,28,class_of_2028,2025-2026,0,2027-2028,2,high,0.9749,updated_assignment_06,64.43745100777853,66.3141,65.14
74,SYN-SIS-000074,Synthetic Student 074,SYN-EXP-000074,Section B,2026,26,class_of_2026,2025-2026,0,2025-2026,0,normal,0.8954,updated_assignment_02,39.02675659482758,41.919,38.39
75,SYN-SIS-000075,Synthetic Student 075,SYN-EXP-000075,Section C,2027,27,class_of_2027,2025-2026,0,2026-2027,1,high,0.9677,updated_assignment_04,85.48913448726174,85.4902,86.23
76,SYN-SIS-000076,Synthetic Student 076,SYN-EXP-000076,Section D,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.9301,updated_assignment_06,64.56312351879039,63.6499,66.29
77,SYN-SIS-000077,Synthetic Student 077,SYN-EXP-000077,Section A,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.8774,updated_assignment_04,31.093351004756244,33.8594,30.23
78,SYN-SIS-000078,Synthetic Student 078,SYN-EXP-000078,Section B,2028,28,class_of_2028,2025-2026,0,2027-2028,2,high,0.9764,updated_assignment_06,46.131912731227665,47.913,46.32
79,SYN-SIS-000079,Synthetic Student 079,SYN-EXP-000079,Section C,2028,28,class_of_2028,2025-2026,0,2027-2028,2,high,0.9849,updated_assignment_06,74.35510280162832,80.7525,74.71
80,SYN-SIS-000080,Synthetic Student 080,SYN-EXP-000080,Section D,2028,28,class_of_2028,2025-2026,0,2027-2028,2,at_risk,0.5647,updated_assignment_06,44.64336131975378,42.6582,45.7
81,SYN-SIS-000081,Synthetic Student 081,SYN-EXP-000081,Section A,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.9543,updated_assignment_08,96.54236760818645,100.0,97.32
82,SYN-SIS-000082,Synthetic Student 082,SYN-EXP-000082,Section B,2027,27,class_of_2027,2025-2026,0,2026-2027,1,high,0.9925,updated_assignment_04,59.44524391664394,62.504,60.61
83,SYN-SIS-000083,Synthetic Student 083,SYN-EXP-000083,Section C,2027,27,class_of_2027,2025-2026,0,2026-2027,1,high,0.9942,observed_readiness_unchanged_absent,28.649589902356084,35.2193,26.95
84,SYN-SIS-000084,Synthetic Student 084,SYN-EXP-000084,Section D,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.8949,updated_assignment_08,69.80210123800015,67.5982,70.65
85,SYN-SIS-000085,Synthetic Student 085,SYN-EXP-000085,Section A,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9874,updated_assignment_08,64.90729219233225,67.3819,65.64
86,SYN-SIS-000086,Synthetic Student 086,SYN-EXP-000086,Section B,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9766,updated_assignment_08,65.93872782916682,67.2009,66.44
87,SYN-SIS-000087,Synthetic Student 087,SYN-EXP-000087,Section C,2028,28,class_of_2028,2025-2026,0,2027-2028,2,high,0.9651,updated_assignment_06,64.09458317141868,61.6521,66.53
88,SYN-SIS-000088,Synthetic Student 088,SYN-EXP-000088,Section D,2028,28,class_of_2028,2025-2026,0,2027-2028,2,high,0.9606,updated_assignment_06,63.51898095941067,66.8807,63.85
89,SYN-SIS-000089,Synthetic Student 089,SYN-EXP-000089,Section A,2027,27,class_of_2027,2025-2026,0,2026-2027,1,high,0.9725,updated_assignment_04,88.49149149491232,88.0731,90.34
90,SYN-SIS-000090,Synthetic Student 090,SYN-EXP-000090,Section B,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.9601,updated_assignment_04,61.09421758068491,62.0653,61.0
91,SYN-SIS-000091,Synthetic Student 091,SYN-EXP-000091,Section C,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.907,updated_assignment_06,81.41935252522168,79.3825,82.64
92,SYN-SIS-000092,Synthetic Student 092,SYN-EXP-000092,Section D,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.9183,updated_assignment_08,76.0800390796217,76.9864,78.4
93,SYN-SIS-000093,Synthetic Student 093,SYN-EXP-000093,Section A,2026,26,class_of_2026,2025-2026,0,2025-2026,0,high,0.9939,updated_assignment_02,74.53762758174791,80.6576,74.91
94,SYN-SIS-000094,Synthetic Student 094,SYN-EXP-000094,Section B,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.9475,observed_readiness_unchanged_absent,65.17296428156371,74.5502,64.9
95,SYN-SIS-000095,Synthetic Student 095,SYN-EXP-000095,Section C,2026,26,class_of_2026,2025-2026,0,2025-2026,0,high,0.9849,updated_assignment_02,63.0056436340666,66.4873,63.27
96,SYN-SIS-000096,Synthetic Student 096,SYN-EXP-000096,Section D,2026,26,class_of_2026,2025-2026,0,2025-2026,0,high,0.9907,updated_assignment_02,82.83714095868014,84.2472,84.42
97,SYN-SIS-000097,Synthetic Student 097,SYN-EXP-000097,Section A,2028,28,class_of_2028,2025-2026,0,2027-2028,2,high,0.9705,updated_assignment_06,53.048761938083544,54.7022,53.11
98,SYN-SIS-000098,Synthetic Student 098,SYN-EXP-000098,Section B,2028,28,class_of_2028,2025-2026,0,2027-2028,2,at_risk,0.7085,observed_readiness_unchanged_absent,61.83014907863304,69.6819,62.28
99,SYN-SIS-000099,Synthetic Student 099,SYN-EXP-000099,Section C,2026,26,class_of_2026,2025-2026,0,2025-2026,0,high,0.9778,updated_assignment_02,47.102106624554104,48.1101,46.9
100,SYN-SIS-000100,Synthetic Student 100,SYN-EXP-000100,Section D,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.8559,updated_assignment_08,33.73089157197575,35.3463,33.98
101,SYN-SIS-000101,Synthetic Student 101,SYN-EXP-000101,Section A,2026,26,class_of_2026,2025-2026,0,2025-2026,0,normal,0.9347,updated_assignment_02,28.75663917508918,24.5227,28.7
102,SYN-SIS-000102,Synthetic Student 102,SYN-EXP-000102,Section B,2026,26,class_of_2026,2025-2026,0,2025-2026,0,normal,0.8841,updated_assignment_02,42.71460380053508,43.9241,42.56
103,SYN-SIS-000103,Synthetic Student 103,SYN-EXP-000103,Section C,2026,26,class_of_2026,2025-2026,0,2025-2026,0,high,0.9933,updated_assignment_02,71.60345397889418,72.8139,73.6
104,SYN-SIS-000104,Synthetic Student 104,SYN-EXP-000104,Section D,2026,26,class_of_2026,2025-2026,0,2025-2026,0,normal,0.9645,updated_assignment_02,89.96355490041617,90.0867,92.31
105,SYN-SIS-000105,Synthetic Student 105,SYN-EXP-000105,Section A,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9892,updated_assignment_08,57.952962255854885,54.8734,58.64
106,SYN-SIS-000106,Synthetic Student 106,SYN-EXP-000106,Section B,2026,26,class_of_2026,2025-2026,0,2025-2026,0,high,0.9746,updated_assignment_02,69.57196601813318,74.8046,69.98
107,SYN-SIS-000107,Synthetic Student 107,SYN-EXP-000107,Section C,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.9315,updated_assignment_04,40.81083225143072,37.3192,41.55
108,SYN-SIS-000108,Synthetic Student 108,SYN-EXP-000108,Section D,2027,27,class_of_2027,2025-2026,0,2026-2027,1,high,0.9724,updated_assignment_04,44.998714866479254,48.4315,42.94
109,SYN-SIS-000109,Synthetic Student 109,SYN-EXP-000109,Section A,2028,28,class_of_2028,2025-2026,0,2027-2028,2,high,0.9897,updated_assignment_06,75.22670570995486,76.6215,75.71
110,SYN-SIS-000110,Synthetic Student 110,SYN-EXP-000110,Section B,2028,28,class_of_2028,2025-2026,0,2027-2028,2,high,0.9706,updated_assignment_06,81.97375983195045,82.1172,83.41
111,SYN-SIS-000111,Synthetic Student 111,SYN-EXP-000111,Section C,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.9373,updated_assignment_08,46.42575068783478,46.9909,46.77
112,SYN-SIS-000112,Synthetic Student 112,SYN-EXP-000112,Section D,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9805,updated_assignment_08,28.982914469564868,30.1588,28.57
113,SYN-SIS-000113,Synthetic Student 113,SYN-EXP-000113,Section A,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9964,updated_assignment_08,33.91417341263126,34.5928,33.73
114,SYN-SIS-000114,Synthetic Student 114,SYN-EXP-000114,Section B,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9923,updated_assignment_08,56.70695746668155,54.8253,57.32
115,SYN-SIS-000115,Synthetic Student 115,SYN-EXP-000115,Section C,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.9355,updated_assignment_06,60.31054498806673,66.0884,60.58
116,SYN-SIS-000116,Synthetic Student 116,SYN-EXP-000116,Section D,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.9653,updated_assignment_08,40.9333738716066,43.5324,41.6
117,SYN-SIS-000117,Synthetic Student 117,SYN-EXP-000117,Section A,2026,26,class_of_2026,2025-2026,0,2025-2026,0,normal,0.8906,updated_assignment_02,61.93361569114149,62.0073,62.65
118,SYN-SIS-000118,Synthetic Student 118,SYN-EXP-000118,Section B,2026,26,class_of_2026,2025-2026,0,2025-2026,0,high,0.9655,updated_assignment_02,97.29530906212842,100.0,99.43
119,SYN-SIS-000119,Synthetic Student 119,SYN-EXP-000119,Section C,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9499,updated_assignment_08,59.26523705588165,56.1342,60.58
120,SYN-SIS-000120,Synthetic Student 120,SYN-EXP-000120,Section D,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.9393,updated_assignment_06,59.49232514595008,60.1019,58.69
121,SYN-SIS-000121,Synthetic Student 121,SYN-EXP-000121,Section A,2028,28,class_of_2028,2025-2026,0,2027-2028,2,high,0.9835,updated_assignment_06,89.54594247322467,93.6326,90.32
122,SYN-SIS-000122,Synthetic Student 122,SYN-EXP-000122,Section B,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.957,updated_assignment_06,34.88174316826249,36.1908,35.21
123,SYN-SIS-000123,Synthetic Student 123,SYN-EXP-000123,Section C,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.9152,observed_readiness_unchanged_absent,74.12058336785245,78.8293,75.64
124,SYN-SIS-000124,Synthetic Student 124,SYN-EXP-000124,Section D,2026,26,class_of_2026,2025-2026,0,2025-2026,0,high,0.9615,updated_assignment_02,32.254380257134365,33.2555,32.8
125,SYN-SIS-000125,Synthetic Student 125,SYN-EXP-000125,Section A,2026,26,class_of_2026,2025-2026,0,2025-2026,0,high,0.9456,updated_assignment_02,72.26863917508918,70.4951,74.39
126,SYN-SIS-000126,Synthetic Student 126,SYN-EXP-000126,Section B,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.9013,updated_assignment_08,70.80550980254415,72.4047,71.07
127,SYN-SIS-000127,Synthetic Student 127,SYN-EXP-000127,Section C,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9662,updated_assignment_08,48.32036024718337,48.6107,49.5
128,SYN-SIS-000128,Synthetic Student 128,SYN-EXP-000128,Section D,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.8837,observed_readiness_unchanged_absent,74.68013460913787,78.4684,75.9
129,SYN-SIS-000129,Synthetic Student 129,SYN-EXP-000129,Section A,2026,26,class_of_2026,2025-2026,0,2025-2026,0,high,0.963,updated_assignment_02,55.971674698275855,55.3584,56.42
130,SYN-SIS-000130,Synthetic Student 130,SYN-EXP-000130,Section B,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.9557,updated_assignment_04,43.48180942173746,46.5488,43.06
131,SYN-SIS-000131,Synthetic Student 131,SYN-EXP-000131,Section C,2026,26,class_of_2026,2025-2026,0,2025-2026,0,normal,0.9097,updated_assignment_02,53.553770863555286,51.4479,54.72
132,SYN-SIS-000132,Synthetic Student 132,SYN-EXP-000132,Section D,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.8769,updated_assignment_06,73.78586363912487,71.0787,75.32
133,SYN-SIS-000133,Synthetic Student 133,SYN-EXP-000133,Section A,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.9342,updated_assignment_04,98.37914126260046,100.0,100.0
134,SYN-SIS-000134,Synthetic Student 134,SYN-EXP-000134,Section B,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.9459,updated_assignment_06,60.21777989082412,60.1056,61.21
135,SYN-SIS-000135,Synthetic Student 135,SYN-EXP-000135,Section C,2027,27,class_of_2027,2025-2026,0,2026-2027,1,high,0.9783,updated_assignment_04,69.0801841642144,70.2903,69.56
136,SYN-SIS-000136,Synthetic Student 136,SYN-EXP-000136,Section D,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.9235,updated_assignment_04,74.51064574520566,74.2433,75.2
137,SYN-SIS-000137,Synthetic Student 137,SYN-EXP-000137,Section A,2026,26,class_of_2026,2025-2026,0,2025-2026,0,at_risk,0.7151,observed_readiness_unchanged_absent,26.702122413793106,31.651,21.25
