school_year,school_year_offset,teacher_id,teacher_label,section_id,section_label,course_id,course_name,course_track,class_size_band,target_enrollment,max_capacity,section_growth_effect,teacher_growth_effect,enrolled_students,boy_avg_all_students,eoy_avg_all_students,avg_observed_growth_delta,eoy_present_rate
2026-2027,1,TCH-002,Teacher 02,Y01-SEC-009,Algebra 2 - Synthetic Section 02-09,MATH-ALG2,Algebra 2,regular,small,10,12,-0.2,0.1,10,27.68,42.68,8.86,1.0
2026-2027,1,TCH-002,Teacher 02,Y01-SEC-002,Geometry - Synthetic Section 02-02,MATH-GEOM,Geometry,regular,standard,14,18,-0.2,0.1,14,44.07,44.39,4.41,0.9286
2027-2028,2,TCH-005,Teacher 05,Y02-SEC-022,AP Calculus BC - Synthetic Section 03-22,MATH-AP-CALC-BC,AP Calculus BC,ap,small,8,12,-0.3,0.05,8,57.87,64.03,6.15,1.0
2027-2028,2,TCH-004,Teacher 04,Y02-SEC-011,AP Precalculus - Synthetic Section 03-11,MATH-AP-PRECALC,AP Precalculus,ap,standard,14,18,0.0,-0.1,14,68.04,61.73,3.17,0.8571
2027-2028,2,TCH-003,Teacher 03,Y02-SEC-010,Honors Algebra 2 - Synthetic Section 03-10,MATH-ALG2-H,Honors Algebra 2,honors,standard,13,18,-0.1,0.2,13,44.11,55.89,6.77,0.9231
2028-2029,3,TCH-005,Teacher 05,Y03-SEC-023,AP Calculus BC - Synthetic Section 04-23,MATH-AP-CALC-BC,AP Calculus BC,ap,standard,13,18,-0.2,0.05,13,60.7,62.14,3.4,0.9231
2028-2029,3,TCH-003,Teacher 03,Y03-SEC-016,Precalculus - Synthetic Section 04-16,MATH-PRECALC,Precalculus,regular,standard,13,18,-0.2,0.2,13,40.35,44.49,4.14,1.0
2028-2029,3,TCH-004,Teacher 04,Y03-SEC-013,AP Precalculus - Synthetic Section 04-13,MATH-AP-PRECALC,AP Precalculus,ap,small,10,12,0.2,-0.1,10,43.4,49.46,6.45,0.9
2028-2029,3,TCH-002,Teacher 02,Y03-SEC-004,Geometry - Synthetic Section 04-04,MATH-GEOM,Geometry,regular,standard,14,18,0.0,0.1,14,40.28,41.72,6.58,0.8571
2029-2030,4,TCH-004,Teacher 04,Y04-SEC-026,Beyond Core Math Sequence - Synthetic Section 05-26,MATH-BEYOND-CORE,Beyond Core Math Sequence,beyond_core,micro,4,6,0.1,-0.1,4,47.61,59.18,2.51,0.75
2029-2030,4,TCH-002,Teacher 02,Y04-SEC-009,Algebra 2 - Synthetic Section 05-09,MATH-ALG2,Algebra 2,regular,standard,13,18,-0.2,0.1,13,30.08,42.11,4.43,1.0
2029-2030,4,TCH-001,Teacher 01,Y04-SEC-002,Algebra 1 - Synthetic Section 05-02,MATH-ALG1,Algebra 1,regular,small,9,12,-0.2,-0.25,9,45.48,48.53,6.39,0.8889
2030-2031,5,TCH-002,Teacher 02,Y05-SEC-002,Geometry - Synthetic Section 06-02,MATH-GEOM,Geometry,regular,standard,13,18,-0.2,0.1,13,46.0,51.4,2.22,1.0
2030-2031,5,TCH-001,Teacher 01,Y05-SEC-005,Geometry - Synthetic Section 06-05,MATH-GEOM,Geometry,regular,small,12,12,0.1,-0.25,12,40.34,47.71,6.5,0.9167
2030-2031,5,TCH-002,Teacher 02,Y05-SEC-004,Geometry - Synthetic Section 06-04,MATH-GEOM,Geometry,regular,standard,13,18,0.0,0.1,13,42.09,45.98,9.06,0.9231
2031-2032,6,TCH-004,Teacher 04,Y06-SEC-013,AP Precalculus - Synthetic Section 07-13,MATH-AP-PRECALC,AP Precalculus,ap,small,11,12,0.2,-0.1,11,51.99,69.44,7.18,1.0
2031-2032,6,TCH-002,Teacher 02,Y06-SEC-008,Algebra 2 - Synthetic Section 07-08,MATH-ALG2,Algebra 2,regular,small,12,12,-0.3,0.1,12,33.57,36.25,6.33,0.8333
2031-2032,6,TCH-001,Teacher 01,Y06-SEC-003,Geometry - Synthetic Section 07-03,MATH-GEOM,Geometry,regular,small,12,12,-0.1,-0.25,12,36.2,48.78,7.02,0.9167
2028-2029,3,TCH-005,Teacher 05,Y03-SEC-021,AP Calculus AB - Synthetic Section 04-21,MATH-AP-CALC-AB,AP Calculus AB,ap,standard,13,18,0.3,0.05,13,42.12,43.27,6.27,0.8462
2028-2029,3,TCH-003,Teacher 03,Y03-SEC-010,Honors Algebra 2 - Synthetic Section 04-10,MATH-ALG2-H,Honors Algebra 2,honors,small,10,12,-0.1,0.2,10,49.56,60.67,5.62,1.0
2029-2030,4,TCH-005,Teacher 05,Y04-SEC-025,AP Calculus BC - Synthetic Section 05-25,MATH-AP-CALC-BC,AP Calculus BC,ap,small,8,12,0.0,0.05,8,58.95,60.54,1.6,1.0
2029-2030,4,TCH-004,Teacher 04,Y04-SEC-016,AP Precalculus - Synthetic Section 05-16,MATH-AP-PRECALC,AP Precalculus,ap,small,10,12,-0.2,-0.1,10,58.91,58.79,4.34,0.9
2030-2031,5,TCH-004,Teacher 04,Y05-SEC-017,Precalculus - Synthetic Section 06-17,MATH-PRECALC,Precalculus,regular,standard,13,18,-0.1,-0.1,13,33.06,40.95,6.87,0.8462
2026-2027,1,TCH-004,Teacher 04,Y01-SEC-019,Precalculus - Synthetic Section 02-19,MATH-PRECALC,Precalculus,regular,small,11,12,0.1,-0.1,11,35.12,48.68,6.33,0.9091
2025-2026,0,TCH-002,Teacher 02,Y00-SEC-009,Algebra 2 - Synthetic Section 01-09,MATH-ALG2,Algebra 2,regular,small,12,12,-0.2,0.1,12,39.95,36.82,5.74,0.8333
2026-2027,1,TCH-001,Teacher 01,Y01-SEC-001,Algebra 1 - Synthetic Section 02-01,MATH-ALG1,Algebra 1,regular,standard,13,18,-0.3,-0.25,13,30.4,40.72,6.79,0.9231
2026-2027,1,TCH-001,Teacher 01,Y01-SEC-005,Geometry - Synthetic Section 02-05,MATH-GEOM,Geometry,regular,standard,13,18,0.1,-0.25,13,34.12,41.51,7.39,1.0
2027-2028,2,TCH-002,Teacher 02,Y02-SEC-007,Algebra 2 - Synthetic Section 03-07,MATH-ALG2,Algebra 2,regular,standard,13,18,0.3,0.1,13,32.06,42.01,6.82,1.0
2027-2028,2,TCH-004,Teacher 04,Y02-SEC-013,AP Precalculus - Synthetic Section 03-13,MATH-AP-PRECALC,AP Precalculus,ap,standard,13,18,0.2,-0.1,13,61.33,67.04,6.18,0.9231
2027-2028,2,TCH-002,Teacher 02,Y02-SEC-002,Geometry - Synthetic Section 03-02,MATH-GEOM,Geometry,regular,small,12,12,-0.2,0.1,12,38.72,37.58,6.4,0.8333
2028-2029,3,TCH-005,Teacher 05,Y03-SEC-024,AP Calculus BC - Synthetic Section 04-24,MATH-AP-CALC-BC,AP Calculus BC,ap,standard,13,18,-0.1,0.05,13,63.66,57.12,3.09,0.7692
2028-2029,3,TCH-001,Teacher 01,Y03-SEC-001,Algebra 1 - Synthetic Section 04-01,MATH-ALG1,Algebra 1,regular,small,8,12,-0.3,-0.25,8,32.51,45.81,6.74,1.0
2029-2030,4,TCH-001,Teacher 01,Y04-SEC-001,Algebra 1 - Synthetic Section 05-01,MATH-ALG1,Algebra 1,regular,small,10,12,-0.3,-0.25,10,38.73,48.46,5.72,1.0
2029-2030,4,TCH-003,Teacher 03,Y04-SEC-011,Honors Algebra 2 - Synthetic Section 05-11,MATH-ALG2-H,Honors Algebra 2,honors,small,12,12,0.0,0.2,12,54.5,61.72,7.22,1.0
2030-2031,5,TCH-005,Teacher 05,Y05-SEC-022,AP Calculus AB - Synthetic Section 06-22,MATH-AP-CALC-AB,AP Calculus AB,ap,small,11,12,-0.3,0.05,11,48.14,49.53,6.21,0.9091
2030-2031,5,TCH-004,Teacher 04,Y05-SEC-025,Beyond Core Math Sequence - Synthetic Section 06-25,MATH-BEYOND-CORE,Beyond Core Math Sequence,beyond_core,micro,5,6,0.0,-0.1,5,54.43,74.77,4.12,1.0
2030-2031,5,TCH-003,Teacher 03,Y05-SEC-018,Precalculus - Synthetic Section 06-18,MATH-PRECALC,Precalculus,regular,standard,13,18,0.0,0.2,13,35.52,40.15,6.76,0.9231
2031-2032,6,TCH-005,Teacher 05,Y06-SEC-021,AP Calculus AB - Synthetic Section 07-21,MATH-AP-CALC-AB,AP Calculus AB,ap,standard,13,18,0.3,0.05,13,46.01,44.59,3.1,0.9231
2031-2032,6,TCH-001,Teacher 01,Y06-SEC-001,Algebra 1 - Synthetic Section 07-01,MATH-ALG1,Algebra 1,regular,standard,13,18,-0.3,-0.25,13,42.09,49.22,7.13,1.0
2026-2027,1,TCH-002,Teacher 02,Y01-SEC-007,Algebra 2 - Synthetic Section 02-07,MATH-ALG2,Algebra 2,regular,small,11,12,0.3,0.1,11,34.94,42.31,7.37,1.0
2027-2028,2,TCH-004,Teacher 04,Y02-SEC-021,AP Calculus AB - Synthetic Section 03-21,MATH-AP-CALC-AB,AP Calculus AB,ap,small,11,12,0.3,-0.1,11,54.17,56.39,3.5,0.9091
2028-2029,3,TCH-001,Teacher 01,Y03-SEC-002,Algebra 1 - Synthetic Section 04-02,MATH-ALG1,Algebra 1,regular,small,8,12,-0.2,-0.25,8,35.26,37.28,5.79,0.875
2025-2026,0,TCH-002,Teacher 02,Y00-SEC-008,Geometry - Synthetic Section 01-08,MATH-GEOM,Geometry,regular,small,11,12,-0.3,0.1,11,47.66,54.54,4.95,0.9091
2025-2026,0,TCH-004,Teacher 04,Y00-SEC-019,Precalculus - Synthetic Section 01-19,MATH-PRECALC,Precalculus,regular,small,8,12,0.1,-0.1,8,46.38,51.35,4.98,1.0
2026-2027,1,TCH-003,Teacher 03,Y01-SEC-012,Honors Algebra 2 - Synthetic Section 02-12,MATH-ALG2-H,Honors Algebra 2,honors,standard,13,18,0.1,0.2,13,54.5,61.0,6.56,0.9231
2026-2027,1,TCH-005,Teacher 05,Y01-SEC-022,AP Calculus BC - Synthetic Section 02-22,MATH-AP-CALC-BC,AP Calculus BC,ap,standard,14,18,-0.3,0.05,14,51.82,60.8,4.54,0.9286
2027-2028,2,TCH-005,Teacher 05,Y02-SEC-023,AP Calculus BC - Synthetic Section 03-23,MATH-AP-CALC-BC,AP Calculus BC,ap,small,8,12,-0.2,0.05,8,64.03,53.75,5.58,0.75
2029-2030,4,TCH-005,Teacher 05,Y04-SEC-020,AP Calculus AB - Synthetic Section 05-20,MATH-AP-CALC-AB,AP Calculus AB,ap,small,11,12,0.2,0.05,11,45.12,49.94,4.82,1.0
2029-2030,4,TCH-001,Teacher 01,Y04-SEC-007,Geometry - Synthetic Section 05-07,MATH-GEOM,Geometry,regular,standard,13,18,0.3,-0.25,13,40.38,44.66,6.78,0.9231
2030-2031,5,TCH-001,Teacher 01,Y05-SEC-001,Algebra 1 - Synthetic Section 06-01,MATH-ALG1,Algebra 1,regular,standard,13,18,-0.3,-0.25,13,41.16,43.19,3.28,0.9231
2031-2032,6,TCH-005,Teacher 05,Y06-SEC-023,AP Calculus BC - Synthetic Section 07-23,MATH-AP-CALC-BC,AP Calculus BC,ap,small,12,12,-0.2,0.05,12,52.72,59.27,1.89,0.9167
2031-2032,6,TCH-001,Teacher 01,Y06-SEC-005,Geometry - Synthetic Section 07-05,MATH-GEOM,Geometry,regular,small,12,12,0.1,-0.25,12,49.62,56.59,4.0,1.0
2025-2026,0,TCH-003,Teacher 03,Y00-SEC-011,Algebra 2 - Synthetic Section 01-11,MATH-ALG2,Algebra 2,regular,small,11,12,0.0,0.2,11,42.02,52.18,6.31,1.0
2025-2026,0,TCH-001,Teacher 01,Y00-SEC-002,Algebra 1 - Synthetic Section 01-02,MATH-ALG1,Algebra 1,regular,small,10,12,-0.2,-0.25,10,28.28,40.24,8.02,1.0
2028-2029,3,TCH-001,Teacher 01,Y03-SEC-005,Geometry - Synthetic Section 04-05,MATH-GEOM,Geometry,regular,standard,14,18,0.1,-0.25,14,44.34,35.53,7.34,0.7143
2028-2029,3,TCH-002,Teacher 02,Y03-SEC-006,Geometry - Synthetic Section 04-06,MATH-GEOM,Geometry,regular,standard,13,18,0.2,0.1,13,33.6,37.96,6.21,0.9231
2026-2027,1,TCH-004,Teacher 04,Y01-SEC-014,AP Precalculus - Synthetic Section 02-14,MATH-AP-PRECALC,AP Precalculus,ap,small,11,12,0.3,-0.1,11,56.08,53.17,6.68,0.8182
2025-2026,0,TCH-004,Teacher 04,Y00-SEC-017,AP Precalculus - Synthetic Section 01-17,MATH-AP-PRECALC,AP Precalculus,ap,small,10,12,-0.1,-0.1,10,61.05,64.8,3.75,1.0
2025-2026,0,TCH-003,Teacher 03,Y00-SEC-014,Honors Algebra 2 - Synthetic Section 01-14,MATH-ALG2-H,Honors Algebra 2,honors,small,11,12,0.3,0.2,11,38.05,43.58,6.1,0.9091
2026-2027,1,TCH-005,Teacher 05,Y01-SEC-021,AP Calculus AB - Synthetic Section 02-21,MATH-AP-CALC-AB,AP Calculus AB,ap,standard,13,18,0.3,0.05,13,46.88,47.8,4.93,0.8462
2026-2027,1,TCH-003,Teacher 03,Y01-SEC-011,Honors Algebra 2 - Synthetic Section 02-11,MATH-ALG2-H,Honors Algebra 2,honors,standard,13,18,0.0,0.2,13,70.08,69.59,5.92,0.9231
2027-2028,2,TCH-005,Teacher 05,Y02-SEC-020,AP Calculus AB - Synthetic Section 03-20,MATH-AP-CALC-AB,AP Calculus AB,ap,small,11,12,0.2,0.05,11,56.19,38.93,1.68,0.6364
2027-2028,2,TCH-004,Teacher 04,Y02-SEC-016,Precalculus - Synthetic Section 03-16,MATH-PRECALC,Precalculus,regular,standard,13,18,-0.2,-0.1,13,36.17,42.45,5.24,0.9231
2027-2028,2,TCH-001,Teacher 01,Y02-SEC-005,Geometry - Synthetic Section 03-05,MATH-GEOM,Geometry,regular,small,12,12,0.1,-0.25,12,35.08,36.74,8.3,0.9167
2027-2028,2,TCH-001,Teacher 01,Y02-SEC-003,Geometry - Synthetic Section 03-03,MATH-GEOM,Geometry,regular,small,12,12,-0.1,-0.25,12,52.69,40.18,5.37,0.75
2028-2029,3,TCH-004,Teacher 04,Y03-SEC-014,AP Precalculus - Synthetic Section 04-14,MATH-AP-PRECALC,AP Precalculus,ap,small,10,12,0.3,-0.1,10,58.02,61.1,3.88,0.9
2028-2029,3,TCH-004,Teacher 04,Y03-SEC-015,AP Precalculus - Synthetic Section 04-15,MATH-AP-PRECALC,AP Precalculus,ap,small,9,12,-0.3,-0.1,9,53.29,56.21,5.41,0.8889
2029-2030,4,TCH-005,Teacher 05,Y04-SEC-024,AP Calculus BC - Synthetic Section 05-24,MATH-AP-CALC-BC,AP Calculus BC,ap,small,9,12,-0.1,0.05,9,54.32,67.81,6.04,1.0
2029-2030,4,TCH-004,Teacher 04,Y04-SEC-014,AP Precalculus - Synthetic Section 05-14,MATH-AP-PRECALC,AP Precalculus,ap,small,11,12,0.3,-0.1,11,64.18,69.35,5.16,1.0
2029-2030,4,TCH-002,Teacher 02,Y04-SEC-008,Algebra 2 - Synthetic Section 05-08,MATH-ALG2,Algebra 2,regular,standard,13,18,-0.3,0.1,13,38.34,39.67,5.2,0.9231
2029-2030,4,TCH-004,Teacher 04,Y04-SEC-015,AP Precalculus - Synthetic Section 05-15,MATH-AP-PRECALC,AP Precalculus,ap,small,11,12,-0.3,-0.1,11,49.34,49.72,8.71,0.9091
2030-2031,5,TCH-005,Teacher 05,Y05-SEC-023,AP Calculus BC - Synthetic Section 06-23,MATH-AP-CALC-BC,AP Calculus BC,ap,small,11,12,-0.2,0.05,11,52.48,69.55,2.91,1.0
2030-2031,5,TCH-004,Teacher 04,Y05-SEC-015,AP Precalculus - Synthetic Section 06-15,MATH-AP-PRECALC,AP Precalculus,ap,small,12,12,-0.3,-0.1,12,50.29,46.84,6.21,0.75
2030-2031,5,TCH-002,Teacher 02,Y05-SEC-009,Algebra 2 - Synthetic Section 06-09,MATH-ALG2,Algebra 2,regular,small,11,12,-0.2,0.1,11,30.74,29.05,2.33,0.8182
2030-2031,5,TCH-003,Teacher 03,Y05-SEC-011,Honors Algebra 2 - Synthetic Section 06-11,MATH-ALG2-H,Honors Algebra 2,honors,small,11,12,0.0,0.2,11,44.46,63.4,7.37,1.0
2030-2031,5,TCH-002,Teacher 02,Y05-SEC-006,Algebra 2 - Synthetic Section 06-06,MATH-ALG2,Algebra 2,regular,small,12,12,0.2,0.1,12,43.74,39.62,10.39,0.75
2030-2031,5,TCH-003,Teacher 03,Y05-SEC-012,Honors Algebra 2 - Synthetic Section 06-12,MATH-ALG2-H,Honors Algebra 2,honors,small,10,12,0.1,0.2,10,50.99,67.43,7.66,0.9
2025-2026,0,TCH-002,Teacher 02,Y00-SEC-010,Algebra 2 - Synthetic Section 01-10,MATH-ALG2,Algebra 2,regular,small,12,12,-0.1,0.1,12,48.34,54.49,5.52,0.9167
