assessment_score_fact_id,student_dim_id,course_dim_id,section_dim_id,teacher_dim_id,assignment_dim_id,school_year,school_year_offset,sis_user_id,course_id,section_id,teacher_id,assignment_label,sequence_index,assessment_window,expected_transition_type,actual_transition_type,generation_mode,population_status,score,present_student_score,potential_score,posterior_readiness_after,growth_delta,latent_transition_type,latent_readiness_before,latent_readiness_after,latent_transition_delta,is_populated,is_present,is_nonparticipation_zero
14,7,7,22,5,2,2025-2026,0,SYN-SIS-000007,MATH-AP-CALC-AB,Y00-SEC-022,TCH-005,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,66.4,66.4,62.09,64.8231,10.22,school_year_growth,55.17,62.0919,6.9219,true,true,false
15,8,8,26,5,1,2025-2026,0,SYN-SIS-000008,MATH-AP-CALC-BC,Y00-SEC-026,TCH-005,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,62.75,62.75,63.21,61.4839,,initialize_latent_readiness,,63.21,,true,true,false
16,8,8,26,5,2,2025-2026,0,SYN-SIS-000008,MATH-AP-CALC-BC,Y00-SEC-026,TCH-005,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,67.58,67.58,70.33,66.4736,4.83,school_year_growth,63.21,70.3299,7.1199,true,true,false
17,9,7,24,5,1,2025-2026,0,SYN-SIS-000009,MATH-AP-CALC-AB,Y00-SEC-024,TCH-005,Assignment 01,1,beginning_of_year,initialize_readiness,absent_no_update,absent_no_update,populated,0.0,,,,,initialize_latent_readiness,,74.88,,true,false,true
18,9,7,24,5,2,2025-2026,0,SYN-SIS-000009,MATH-AP-CALC-AB,Y00-SEC-024,TCH-005,Assignment 02,2,end_of_year,school_year_growth,absent_no_update,absent_no_update,populated,0.0,,,,,school_year_growth,74.88,79.4221,4.5421,true,false,true
19,10,7,23,5,1,2025-2026,0,SYN-SIS-000010,MATH-AP-CALC-AB,Y00-SEC-023,TCH-005,Assignment 01,1,beginning_of_year,initialize_readiness,absent_no_update,absent_no_update,populated,0.0,,,,,initialize_latent_readiness,,68.85,,true,false,true
20,10,7,23,5,2,2025-2026,0,SYN-SIS-000010,MATH-AP-CALC-AB,Y00-SEC-023,TCH-005,Assignment 02,2,end_of_year,school_year_growth,initialize_readiness,first_present_evidence_from_latent,populated,70.05,70.05,69.2,67.9297,,school_year_growth,68.85,69.1971,0.3471,true,true,false
21,11,5,18,4,1,2025-2026,0,SYN-SIS-000011,MATH-AP-PRECALC,Y00-SEC-018,TCH-004,Assignment 01,1,beginning_of_year,initialize_readiness,absent_no_update,absent_no_update,populated,0.0,,,,,initialize_latent_readiness,,32.59,,true,false,true
22,11,5,18,4,2,2025-2026,0,SYN-SIS-000011,MATH-AP-PRECALC,Y00-SEC-018,TCH-004,Assignment 02,2,end_of_year,school_year_growth,initialize_readiness,first_present_evidence_from_latent,populated,47.07,47.07,43.39,47.6798,,school_year_growth,32.59,43.386,10.796,true,true,false
23,12,2,8,2,1,2025-2026,0,SYN-SIS-000012,MATH-GEOM,Y00-SEC-008,TCH-002,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,49.92,49.92,51.07,49.1566,,initialize_latent_readiness,,51.07,,true,true,false
24,12,2,8,2,2,2025-2026,0,SYN-SIS-000012,MATH-GEOM,Y00-SEC-008,TCH-002,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,56.88,56.88,54.83,55.5848,6.96,school_year_growth,51.07,54.8261,3.7561,true,true,false
25,13,4,15,3,1,2025-2026,0,SYN-SIS-000013,MATH-ALG2-H,Y00-SEC-015,TCH-003,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,68.63,68.63,65.44,65.8625,,initialize_latent_readiness,,65.44,,true,true,false
26,13,4,15,3,2,2025-2026,0,SYN-SIS-000013,MATH-ALG2-H,Y00-SEC-015,TCH-003,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,70.55,70.55,72.98,69.4719,1.92,school_year_growth,65.44,72.9759,7.5359,true,true,false
27,14,3,10,2,1,2025-2026,0,SYN-SIS-000014,MATH-ALG2,Y00-SEC-010,TCH-002,Assignment 01,1,beginning_of_year,initialize_readiness,absent_no_update,absent_no_update,populated,0.0,,,,,initialize_latent_readiness,,50.79,,true,false,true
28,14,3,10,2,2,2025-2026,0,SYN-SIS-000014,MATH-ALG2,Y00-SEC-010,TCH-002,Assignment 02,2,end_of_year,school_year_growth,initialize_readiness,first_present_evidence_from_latent,populated,54.28,54.28,56.33,53.1186,,school_year_growth,50.79,56.3266,5.5366,true,true,false
29,15,7,22,5,1,2025-2026,0,SYN-SIS-000015,MATH-AP-CALC-AB,Y00-SEC-022,TCH-005,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,41.18,41.18,40.95,43.261,,initialize_latent_readiness,,40.95,,true,true,false
30,15,7,22,5,2,2025-2026,0,SYN-SIS-000015,MATH-AP-CALC-AB,Y00-SEC-022,TCH-005,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,50.01,50.01,46.14,49.2264,8.83,school_year_growth,40.95,46.1424,5.1924,true,true,false
31,16,4,15,3,1,2025-2026,0,SYN-SIS-000016,MATH-ALG2-H,Y00-SEC-015,TCH-003,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,81.41,81.41,78.43,76.3809,,initialize_latent_readiness,,78.43,,true,true,false
32,16,4,15,3,2,2025-2026,0,SYN-SIS-000016,MATH-ALG2-H,Y00-SEC-015,TCH-003,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,81.33,81.33,81.24,79.9247,-0.08,school_year_growth,78.43,81.243,2.813,true,true,false
33,17,1,1,1,1,2025-2026,0,SYN-SIS-000017,MATH-ALG1,Y00-SEC-001,TCH-001,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,15.53,15.53,22.79,20.1029,,initialize_latent_readiness,,22.79,,true,true,false
34,17,1,1,1,2,2025-2026,0,SYN-SIS-000017,MATH-ALG1,Y00-SEC-001,TCH-001,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,34.89,34.89,34.36,33.175,19.36,school_year_growth,22.79,34.3581,11.5681,true,true,false
35,18,2,8,2,1,2025-2026,0,SYN-SIS-000018,MATH-GEOM,Y00-SEC-008,TCH-002,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,89.19,89.19,90.32,82.6115,,initialize_latent_readiness,,90.32,,true,true,false
36,18,2,8,2,2,2025-2026,0,SYN-SIS-000018,MATH-GEOM,Y00-SEC-008,TCH-002,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,95.72,95.72,89.29,92.8523,6.53,school_year_growth,90.32,89.2903,-1.0297,true,true,false
37,19,2,5,1,1,2025-2026,0,SYN-SIS-000019,MATH-GEOM,Y00-SEC-005,TCH-001,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,32.09,32.09,30.77,34.0933,,initialize_latent_readiness,,30.77,,true,true,false
38,19,2,5,1,2,2025-2026,0,SYN-SIS-000019,MATH-GEOM,Y00-SEC-005,TCH-001,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,33.82,33.82,39.72,34.1163,1.73,school_year_growth,30.77,39.72,8.95,true,true,false
39,20,6,20,4,1,2025-2026,0,SYN-SIS-000020,MATH-PRECALC,Y00-SEC-020,TCH-004,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,77.78,77.78,79.96,73.2506,,initialize_latent_readiness,,79.96,,true,true,false
40,20,6,20,4,2,2025-2026,0,SYN-SIS-000020,MATH-PRECALC,Y00-SEC-020,TCH-004,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,85.27,85.27,82.76,82.8309,7.49,school_year_growth,79.96,82.762,2.802,true,true,false
41,21,5,16,4,1,2025-2026,0,SYN-SIS-000021,MATH-AP-PRECALC,Y00-SEC-016,TCH-004,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,90.14,90.14,88.93,84.6237,,initialize_latent_readiness,,88.93,,true,true,false
42,21,5,16,4,2,2025-2026,0,SYN-SIS-000021,MATH-AP-PRECALC,Y00-SEC-016,TCH-004,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,93.7,93.7,91.18,91.5926,3.56,school_year_growth,88.93,91.1808,2.2508,true,true,false
43,22,2,5,1,1,2025-2026,0,SYN-SIS-000022,MATH-GEOM,Y00-SEC-005,TCH-001,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,66.55,66.55,67.08,63.206,,initialize_latent_readiness,,67.08,,true,true,false
44,22,2,5,1,2,2025-2026,0,SYN-SIS-000022,MATH-GEOM,Y00-SEC-005,TCH-001,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,66.37,66.37,69.54,65.4553,-0.18,school_year_growth,67.08,69.5397,2.4597,true,true,false
45,23,3,9,2,1,2025-2026,0,SYN-SIS-000023,MATH-ALG2,Y00-SEC-009,TCH-002,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,77.21,77.21,76.72,72.4905,,initialize_latent_readiness,,76.72,,true,true,false
46,23,3,9,2,2,2025-2026,0,SYN-SIS-000023,MATH-ALG2,Y00-SEC-009,TCH-002,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,80.29,80.29,81.0,78.4817,3.08,school_year_growth,76.72,81.0008,4.2808,true,true,false
47,24,8,25,5,1,2025-2026,0,SYN-SIS-000024,MATH-AP-CALC-BC,Y00-SEC-025,TCH-005,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,59.22,59.22,59.0,58.7802,,initialize_latent_readiness,,59.0,,true,true,false
48,24,8,25,5,2,2025-2026,0,SYN-SIS-000024,MATH-AP-CALC-BC,Y00-SEC-025,TCH-005,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,68.87,68.87,64.48,67.2486,9.65,school_year_growth,59.0,64.4759,5.4759,true,true,false
49,25,2,3,2,1,2025-2026,0,SYN-SIS-000025,MATH-GEOM,Y00-SEC-003,TCH-002,Assignment 01,1,beginning_of_year,initialize_readiness,absent_no_update,absent_no_update,populated,0.0,,,,,initialize_latent_readiness,,63.21,,true,false,true
50,25,2,3,2,2,2025-2026,0,SYN-SIS-000025,MATH-GEOM,Y00-SEC-003,TCH-002,Assignment 02,2,end_of_year,school_year_growth,initialize_readiness,first_present_evidence_from_latent,populated,68.69,68.69,66.56,65.014,,school_year_growth,63.21,66.5617,3.3517,true,true,false
51,26,7,23,5,1,2025-2026,0,SYN-SIS-000026,MATH-AP-CALC-AB,Y00-SEC-023,TCH-005,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,47.21,47.21,43.79,48.0767,,initialize_latent_readiness,,43.79,,true,true,false
52,26,7,23,5,2,2025-2026,0,SYN-SIS-000026,MATH-AP-CALC-AB,Y00-SEC-023,TCH-005,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,44.92,44.92,46.87,45.5197,-2.29,school_year_growth,43.79,46.8663,3.0763,true,true,false
53,27,4,14,3,1,2025-2026,0,SYN-SIS-000027,MATH-ALG2-H,Y00-SEC-014,TCH-003,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,73.41,73.41,68.69,69.9008,,initialize_latent_readiness,,68.69,,true,true,false
54,27,4,14,3,2,2025-2026,0,SYN-SIS-000027,MATH-ALG2-H,Y00-SEC-014,TCH-003,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,66.85,66.85,73.24,66.8787,-6.56,school_year_growth,68.69,73.238,4.548,true,true,false
55,28,5,16,4,1,2025-2026,0,SYN-SIS-000028,MATH-AP-PRECALC,Y00-SEC-016,TCH-004,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,42.62,42.62,44.84,44.1989,,initialize_latent_readiness,,44.84,,true,true,false
56,28,5,16,4,2,2025-2026,0,SYN-SIS-000028,MATH-AP-PRECALC,Y00-SEC-016,TCH-004,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,51.3,51.3,51.57,50.3982,8.68,school_year_growth,44.84,51.5717,6.7317,true,true,false
57,29,2,8,2,1,2025-2026,0,SYN-SIS-000029,MATH-GEOM,Y00-SEC-008,TCH-002,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,50.36,50.36,45.31,49.5283,,initialize_latent_readiness,,45.31,,true,true,false
58,29,2,8,2,2,2025-2026,0,SYN-SIS-000029,MATH-GEOM,Y00-SEC-008,TCH-002,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,50.6,50.6,53.19,50.3283,0.24,school_year_growth,45.31,53.189,7.879,true,true,false
59,30,2,8,2,1,2025-2026,0,SYN-SIS-000030,MATH-GEOM,Y00-SEC-008,TCH-002,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,74.92,74.92,79.61,70.5558,,initialize_latent_readiness,,79.61,,true,true,false
60,30,2,8,2,2,2025-2026,0,SYN-SIS-000030,MATH-GEOM,Y00-SEC-008,TCH-002,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,84.53,84.53,82.23,81.8085,9.61,school_year_growth,79.61,82.2251,2.6151,true,true,false
61,31,4,12,3,1,2025-2026,0,SYN-SIS-000031,MATH-ALG2-H,Y00-SEC-012,TCH-003,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,64.38,64.38,65.14,61.9934,,initialize_latent_readiness,,65.14,,true,true,false
62,31,4,12,3,2,2025-2026,0,SYN-SIS-000031,MATH-ALG2-H,Y00-SEC-012,TCH-003,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,68.12,68.12,69.36,66.8669,3.74,school_year_growth,65.14,69.3561,4.2161,true,true,false
63,32,2,6,2,1,2025-2026,0,SYN-SIS-000032,MATH-GEOM,Y00-SEC-006,TCH-002,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,76.12,76.12,74.7,71.291,,initialize_latent_readiness,,74.7,,true,true,false
64,32,2,6,2,2,2025-2026,0,SYN-SIS-000032,MATH-GEOM,Y00-SEC-006,TCH-002,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,80.58,80.58,78.38,78.5267,4.46,school_year_growth,74.7,78.3809,3.6809,true,true,false
65,33,3,10,2,1,2025-2026,0,SYN-SIS-000033,MATH-ALG2,Y00-SEC-010,TCH-002,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,35.64,35.64,36.37,37.371,,initialize_latent_readiness,,36.37,,true,true,false
66,33,3,10,2,2,2025-2026,0,SYN-SIS-000033,MATH-ALG2,Y00-SEC-010,TCH-002,Assignment 02,2,end_of_year,school_year_growth,absent_no_update,absent_no_update,populated,0.0,,,,,school_year_growth,36.37,45.5232,9.1532,true,false,true
67,34,8,25,5,1,2025-2026,0,SYN-SIS-000034,MATH-AP-CALC-BC,Y00-SEC-025,TCH-005,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,100.0,100.0,100.0,93.2323,,initialize_latent_readiness,,100.0,,true,true,false
68,34,8,25,5,2,2025-2026,0,SYN-SIS-000034,MATH-AP-CALC-BC,Y00-SEC-025,TCH-005,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,100.0,100.0,100.0,98.0922,0.0,school_year_growth,100.0,100.0,0.0,true,true,false
69,35,1,1,1,1,2025-2026,0,SYN-SIS-000035,MATH-ALG1,Y00-SEC-001,TCH-001,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,11.52,11.52,16.34,16.7152,,initialize_latent_readiness,,16.34,,true,true,false
70,35,1,1,1,2,2025-2026,0,SYN-SIS-000035,MATH-ALG1,Y00-SEC-001,TCH-001,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,21.55,21.55,22.56,21.4581,10.03,school_year_growth,16.34,22.5627,6.2227,true,true,false
71,36,7,23,5,1,2025-2026,0,SYN-SIS-000036,MATH-AP-CALC-AB,Y00-SEC-023,TCH-005,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,65.48,65.48,70.25,64.0688,,initialize_latent_readiness,,70.25,,true,true,false
72,36,7,23,5,2,2025-2026,0,SYN-SIS-000036,MATH-AP-CALC-AB,Y00-SEC-023,TCH-005,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,75.66,75.66,74.62,73.6825,10.18,school_year_growth,70.25,74.6208,4.3708,true,true,false
73,37,5,16,4,1,2025-2026,0,SYN-SIS-000037,MATH-AP-PRECALC,Y00-SEC-016,TCH-004,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,42.31,42.31,42.5,44.2156,,initialize_latent_readiness,,42.5,,true,true,false
74,37,5,16,4,2,2025-2026,0,SYN-SIS-000037,MATH-AP-PRECALC,Y00-SEC-016,TCH-004,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,49.25,49.25,48.82,48.7103,6.94,school_year_growth,42.5,48.8171,6.3171,true,true,false
75,38,7,21,5,1,2025-2026,0,SYN-SIS-000038,MATH-AP-CALC-AB,Y00-SEC-021,TCH-005,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,59.96,59.96,60.25,59.1268,,initialize_latent_readiness,,60.25,,true,true,false
76,38,7,21,5,2,2025-2026,0,SYN-SIS-000038,MATH-AP-CALC-AB,Y00-SEC-021,TCH-005,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,65.72,65.72,67.19,64.5913,5.76,school_year_growth,60.25,67.189,6.939,true,true,false
77,39,2,7,1,1,2025-2026,0,SYN-SIS-000039,MATH-GEOM,Y00-SEC-007,TCH-001,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,34.26,34.26,31.17,35.9266,,initialize_latent_readiness,,31.17,,true,true,false
78,39,2,7,1,2,2025-2026,0,SYN-SIS-000039,MATH-GEOM,Y00-SEC-007,TCH-001,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,37.38,37.38,39.43,37.3657,3.12,school_year_growth,31.17,39.4337,8.2637,true,true,false
79,40,8,26,5,1,2025-2026,0,SYN-SIS-000040,MATH-AP-CALC-BC,Y00-SEC-026,TCH-005,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,81.53,81.53,84.24,77.6283,,initialize_latent_readiness,,84.24,,true,true,false
80,40,8,26,5,2,2025-2026,0,SYN-SIS-000040,MATH-AP-CALC-BC,Y00-SEC-026,TCH-005,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,86.66,86.66,87.66,84.7641,5.13,school_year_growth,84.24,87.6559,3.4159,true,true,false
81,41,5,16,4,1,2025-2026,0,SYN-SIS-000041,MATH-AP-PRECALC,Y00-SEC-016,TCH-004,Assignment 01,1,beginning_of_year,initialize_readiness,absent_no_update,absent_no_update,populated,0.0,,,,,initialize_latent_readiness,,55.04,,true,false,true
82,41,5,16,4,2,2025-2026,0,SYN-SIS-000041,MATH-AP-PRECALC,Y00-SEC-016,TCH-004,Assignment 02,2,end_of_year,school_year_growth,initialize_readiness,first_present_evidence_from_latent,populated,56.58,56.58,59.44,56.2713,,school_year_growth,55.04,59.4382,4.3982,true,true,false
83,42,5,16,4,1,2025-2026,0,SYN-SIS-000042,MATH-AP-PRECALC,Y00-SEC-016,TCH-004,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,86.06,86.06,84.8,81.4554,,initialize_latent_readiness,,84.8,,true,true,false
84,42,5,16,4,2,2025-2026,0,SYN-SIS-000042,MATH-AP-PRECALC,Y00-SEC-016,TCH-004,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,87.41,87.41,89.63,85.9025,1.35,school_year_growth,84.8,89.6311,4.8311,true,true,false
85,43,3,11,3,1,2025-2026,0,SYN-SIS-000043,MATH-ALG2,Y00-SEC-011,TCH-003,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,74.62,74.62,72.84,70.581,,initialize_latent_readiness,,72.84,,true,true,false
86,43,3,11,3,2,2025-2026,0,SYN-SIS-000043,MATH-ALG2,Y00-SEC-011,TCH-003,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,81.99,81.99,77.44,79.7078,7.37,school_year_growth,72.84,77.4404,4.6004,true,true,false
87,44,6,19,4,1,2025-2026,0,SYN-SIS-000044,MATH-PRECALC,Y00-SEC-019,TCH-004,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,32.96,32.96,29.61,35.664,,initialize_latent_readiness,,29.61,,true,true,false
88,44,6,19,4,2,2025-2026,0,SYN-SIS-000044,MATH-PRECALC,Y00-SEC-019,TCH-004,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,34.47,34.47,38.82,34.9979,1.51,school_year_growth,29.61,38.8194,9.2094,true,true,false
89,45,4,12,3,1,2025-2026,0,SYN-SIS-000045,MATH-ALG2-H,Y00-SEC-012,TCH-003,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,35.67,35.67,42.31,37.7384,,initialize_latent_readiness,,42.31,,true,true,false
90,45,4,12,3,2,2025-2026,0,SYN-SIS-000045,MATH-ALG2-H,Y00-SEC-012,TCH-003,Assignment 02,2,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,45.86,45.86,47.57,44.8619,10.19,school_year_growth,42.31,47.569,5.259,true,true,false
91,46,1,1,1,1,2025-2026,0,SYN-SIS-000046,MATH-ALG1,Y00-SEC-001,TCH-001,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,43.95,43.95,48.19,44.1129,,initialize_latent_readiness,,48.19,,true,true,false
