school_year,school_year_offset,grade_level,course_track,attendance_category,student_year_count,avg_attendance_probability,boy_nonparticipation_rate,eoy_nonparticipation_rate,boy_avg_present_score,eoy_avg_present_score,avg_observed_growth_delta
2031-2032,6,12,ap,high,19,0.979,0.0,0.0,53.54,56.76,3.22
2031-2032,6,10,regular,at_risk,2,0.6738,0.5,0.5,14.17,22.16,7.99
2028-2029,3,10,ap,at_risk,3,0.7132,0.3333,0.0,56.26,65.93,4.82
2028-2029,3,9,honors,high,4,0.9846,0.0,0.0,47.11,53.75,6.64
2029-2030,4,11,honors,high,1,0.9746,0.0,0.0,78.36,90.86,12.5
2031-2032,6,12,regular,normal,5,0.9276,0.2,0.0,39.92,46.19,5.13
2025-2026,0,12,regular,high,4,0.9719,0.0,0.0,53.3,55.97,2.67
2025-2026,0,12,ap,at_risk,5,0.7046,0.0,0.8,40.63,75.57,10.03
2026-2027,1,12,regular,normal,6,0.925,0.1667,0.0,44.43,58.76,6.07
2030-2031,5,11,regular,at_risk,4,0.6889,0.25,0.0,46.05,50.88,4.9
2031-2032,6,11,regular,high,17,0.9833,0.0,0.0,42.02,48.14,6.12
2026-2027,1,10,ap,normal,7,0.9212,0.0,0.0,49.8,54.82,5.02
2027-2028,2,12,beyond_core,at_risk,1,0.7479,1.0,0.0,,55.47,
2029-2030,4,9,honors,at_risk,2,0.6514,1.0,0.5,,48.0,
2031-2032,6,12,beyond_core,normal,1,0.9094,1.0,0.0,,66.66,
2025-2026,0,12,ap,high,24,0.9763,0.0,0.0417,64.29,69.7,5.3
2026-2027,1,10,honors,at_risk,2,0.6846,0.0,0.5,71.93,67.59,1.15
2026-2027,1,11,ap,normal,21,0.9143,0.0,0.0,57.98,63.38,5.39
2026-2027,1,9,regular,normal,18,0.9325,0.1667,0.0,36.59,44.91,5.42
2027-2028,2,12,ap,normal,33,0.9205,0.0,0.1515,58.16,61.66,4.56
2027-2028,2,9,honors,normal,1,0.9456,1.0,0.0,,32.03,
2028-2029,3,12,regular,high,9,0.982,0.1111,0.0,31.0,38.93,6.23
2028-2029,3,10,ap,high,10,0.9766,0.0,0.0,44.17,52.33,8.16
2029-2030,4,12,ap,high,22,0.9821,0.0,0.0,50.91,55.05,4.13
2029-2030,4,11,regular,at_risk,2,0.6762,0.5,0.5,44.32,47.17,
2030-2031,5,12,ap,normal,17,0.9186,0.1176,0.0,53.0,60.34,4.6
2030-2031,5,11,regular,high,16,0.9789,0.0,0.0,36.69,44.5,7.82
2031-2032,6,10,regular,high,11,0.9807,0.0,0.0,45.26,52.3,7.04
2025-2026,0,9,honors,normal,7,0.9212,0.1429,0.0,44.35,51.67,8.57
2025-2026,0,10,ap,high,5,0.9795,0.0,0.0,36.16,44.86,8.7
2027-2028,2,10,honors,normal,2,0.9049,0.0,0.0,69.72,72.35,2.63
2028-2029,3,12,beyond_core,normal,1,0.9385,0.0,0.0,72.03,72.59,0.56
2028-2029,3,10,regular,at_risk,3,0.7019,0.0,0.3333,50.57,61.53,4.14
2029-2030,4,9,honors,high,6,0.9843,0.0,0.0,40.48,47.01,6.53
2031-2032,6,11,honors,high,3,0.9885,0.0,0.0,70.6,74.34,3.74
2025-2026,0,11,ap,high,10,0.9884,0.0,0.0,60.91,66.41,5.5
2026-2027,1,9,honors,normal,6,0.918,0.1667,0.3333,51.43,52.86,9.43
2031-2032,6,12,ap,at_risk,3,0.7048,0.3333,0.0,60.46,63.52,8.27
2030-2031,5,9,ap,normal,1,0.9372,0.0,0.0,40.43,37.22,-3.21
2027-2028,2,12,beyond_core,high,1,0.9603,0.0,0.0,42.43,36.25,-6.18
2027-2028,2,9,ap,high,1,0.9859,0.0,0.0,18.01,36.68,18.67
2031-2032,6,11,regular,at_risk,2,0.7537,0.0,0.5,40.94,57.99,6.61
2028-2029,3,11,honors,high,1,0.9913,0.0,0.0,55.08,57.15,2.07
2028-2029,3,9,honors,at_risk,1,0.7206,0.0,0.0,32.07,35.89,3.82
2029-2030,4,11,honors,at_risk,1,0.7532,0.0,0.0,76.19,73.48,-2.71
2026-2027,1,10,regular,normal,19,0.9188,0.1579,0.1579,38.55,44.69,9.15
2026-2027,1,11,honors,high,3,0.9578,0.0,0.0,79.75,81.63,1.88
2026-2027,1,11,regular,high,13,0.9808,0.0,0.0,53.5,58.5,5.0
2027-2028,2,11,regular,normal,16,0.9131,0.0625,0.1875,33.53,42.8,7.39
2027-2028,2,11,honors,high,2,0.9753,0.0,0.0,70.18,74.82,4.63
2028-2029,3,11,regular,normal,14,0.9359,0.0,0.0,38.86,45.24,6.38
2029-2030,4,11,ap,at_risk,4,0.6832,0.0,0.5,69.86,86.8,10.02
2029-2030,4,10,regular,high,18,0.9789,0.0556,0.0,36.99,43.08,5.06
2030-2031,5,9,regular,normal,27,0.9238,0.1481,0.1111,43.54,45.4,5.24
2031-2032,6,9,regular,high,19,0.98,0.0,0.0,43.64,49.48,5.84
2025-2026,0,10,honors,at_risk,1,0.7085,0.0,1.0,54.73,,
2028-2029,3,11,ap,normal,8,0.9147,0.0,0.125,61.58,62.19,2.65
2029-2030,4,10,honors,high,3,0.9874,0.0,0.0,62.96,68.4,5.43
2030-2031,5,11,honors,high,2,0.9795,0.0,0.0,70.15,74.24,4.1
2026-2027,1,9,ap,at_risk,1,0.7931,0.0,0.0,30.24,43.18,12.94
2027-2028,2,10,ap,high,6,0.9827,0.0,0.0,53.47,57.72,4.25
2028-2029,3,12,ap,at_risk,7,0.7155,0.5714,0.5714,54.43,58.43,3.73
2030-2031,5,12,beyond_core,normal,1,0.9591,0.0,0.0,67.51,70.98,3.47
2031-2032,6,9,ap,normal,1,0.9044,0.0,0.0,26.89,31.12,4.23
2030-2031,5,9,honors,high,1,0.9925,0.0,0.0,70.42,79.3,8.88
2028-2029,3,10,honors,at_risk,1,0.5934,1.0,1.0,,,
2031-2032,6,10,ap,high,2,0.9817,0.0,0.0,59.17,59.71,0.54
2025-2026,0,11,ap,normal,20,0.9217,0.15,0.1,53.07,54.07,3.55
2025-2026,0,12,ap,normal,23,0.9123,0.087,0.0435,58.57,67.35,5.14
2025-2026,0,9,honors,high,9,0.9839,0.0,0.0,48.49,55.15,6.66
2026-2027,1,11,ap,high,9,0.981,0.0,0.0,48.17,52.32,4.15
2026-2027,1,12,regular,at_risk,1,0.6373,1.0,0.0,,45.99,
2026-2027,1,9,regular,high,23,0.9832,0.0,0.0435,38.46,45.56,6.33
2027-2028,2,12,beyond_core,normal,3,0.8952,0.6667,0.0,36.74,75.73,7.08
2027-2028,2,12,ap,high,22,0.9777,0.0455,0.0455,59.91,64.07,4.18
2027-2028,2,9,honors,high,9,0.9755,0.0,0.0,41.59,50.77,9.18
2028-2029,3,12,regular,normal,5,0.9065,0.0,0.0,32.57,38.23,5.66
2028-2029,3,11,honors,normal,2,0.9364,0.5,0.5,64.63,60.52,
2029-2030,4,12,ap,normal,19,0.9285,0.1053,0.0,48.14,56.75,6.64
2029-2030,4,9,honors,normal,10,0.9322,0.0,0.0,41.74,50.88,9.14
2030-2031,5,12,ap,high,27,0.9791,0.0,0.0,51.7,57.6,5.89
2030-2031,5,11,regular,normal,22,0.9085,0.1364,0.2273,41.56,47.71,6.47
2031-2032,6,10,regular,normal,22,0.9218,0.0909,0.1364,37.69,45.99,5.84
2025-2026,0,10,ap,normal,7,0.9084,0.0,0.0,62.14,69.86,7.71
2025-2026,0,10,regular,at_risk,4,0.7199,0.0,0.25,40.54,47.32,5.14
2026-2027,1,10,ap,at_risk,2,0.7685,0.5,0.5,42.24,44.52,
2027-2028,2,10,regular,at_risk,2,0.7161,0.5,0.0,52.79,44.99,3.49
2028-2029,3,12,beyond_core,high,5,0.9694,0.0,0.2,75.67,83.99,7.29
2028-2029,3,9,regular,at_risk,5,0.6998,0.2,0.2,36.55,52.48,9.6
2031-2032,6,11,honors,normal,2,0.9112,0.0,0.0,73.27,75.86,2.59
2026-2027,1,9,honors,high,5,0.9835,0.0,0.0,48.93,54.02,5.09
2027-2028,2,10,honors,high,4,0.9762,0.0,0.0,65.15,67.52,2.37
2029-2030,4,9,regular,at_risk,4,0.7254,0.5,0.0,51.97,54.17,6.48
2030-2031,5,11,ap,at_risk,1,0.7206,1.0,1.0,,,
2031-2032,6,12,regular,at_risk,3,0.7018,0.3333,0.3333,45.32,48.37,3.8
2029-2030,4,9,ap,high,2,0.984,0.0,0.0,36.11,42.67,6.56
2030-2031,5,10,regular,at_risk,2,0.7537,0.5,1.0,51.39,,
2028-2029,3,10,ap,normal,2,0.9524,0.0,0.0,44.48,46.69,2.21
2030-2031,5,9,ap,high,1,0.9709,0.0,0.0,33.62,41.53,7.91
2027-2028,2,9,ap,normal,1,0.9591,0.0,0.0,50.41,60.7,10.29
2025-2026,0,10,regular,high,16,0.9765,0.0625,0.0625,55.81,60.24,5.34
2026-2027,1,10,ap,high,12,0.9771,0.0,0.0833,56.76,62.88,3.79
2026-2027,1,11,ap,at_risk,3,0.6737,0.0,0.6667,46.15,37.33,8.81
2026-2027,1,10,honors,normal,7,0.9109,0.1429,0.1429,68.3,77.46,8.53
2026-2027,1,9,regular,at_risk,4,0.6941,0.0,0.75,47.7,60.48,4.72
2027-2028,2,12,ap,at_risk,6,0.6921,0.0,0.6667,49.1,44.5,7.95
2027-2028,2,10,regular,high,19,0.9847,0.0526,0.0,38.35,44.51,5.66
2027-2028,2,10,honors,at_risk,2,0.6721,0.0,0.5,66.7,61.44,3.7
2027-2028,2,9,honors,at_risk,3,0.7132,0.3333,0.0,52.56,63.86,5.63
2028-2029,3,9,regular,high,21,0.9801,0.0,0.0952,35.87,42.55,6.91
2029-2030,4,9,regular,high,28,0.9838,0.0,0.0,43.87,51.85,7.98
2030-2031,5,12,ap,at_risk,4,0.6807,0.0,0.25,64.74,69.36,-1.36
2031-2032,6,12,beyond_core,high,3,0.9862,0.0,0.0,61.26,61.15,-0.11
2031-2032,6,12,ap,normal,37,0.9192,0.0811,0.0811,57.51,60.83,3.41
2031-2032,6,12,regular,high,5,0.985,0.0,0.0,36.59,43.1,6.51
2031-2032,6,11,regular,normal,27,0.9181,0.037,0.037,40.89,45.54,4.64
2025-2026,0,12,regular,normal,3,0.9301,0.0,0.0,66.69,72.98,6.29
2025-2026,0,9,honors,at_risk,2,0.7685,0.0,0.0,39.94,40.8,0.86
2026-2027,1,12,regular,high,7,0.9846,0.0,0.0,39.52,46.24,6.71
2028-2029,3,10,regular,normal,12,0.922,0.0833,0.1667,29.81,37.16,8.03
2028-2029,3,9,honors,normal,10,0.9402,0.1,0.0,45.52,49.98,6.02
2030-2031,5,10,regular,high,20,0.9841,0.0,0.05,42.66,48.97,5.98
2029-2030,4,11,regular,normal,11,0.9236,0.1818,0.0909,31.39,39.78,7.83
2029-2030,4,9,ap,at_risk,1,0.7653,0.0,0.0,34.49,44.55,10.06
2030-2031,5,11,ap,high,9,0.985,0.0,0.0,58.32,64.12,5.8
2026-2027,1,9,honors,at_risk,1,0.6843,1.0,0.0,,32.02,
2029-2030,4,11,honors,normal,1,0.9039,0.0,0.0,61.01,60.77,-0.24
2025-2026,0,9,regular,normal,26,0.9167,0.0385,0.0385,39.07,46.44,7.73
2025-2026,0,11,regular,normal,9,0.9282,0.0,0.1111,52.0,55.45,4.85
2026-2027,1,11,regular,at_risk,3,0.7305,0.0,0.6667,37.76,51.3,8.72
2026-2027,1,12,ap,normal,24,0.9253,0.0833,0.125,54.8,59.13,3.89
2026-2027,1,11,honors,at_risk,1,0.6879,0.0,0.0,61.04,72.17,11.13
2027-2028,2,9,regular,normal,19,0.9146,0.0,0.2632,42.14,42.1,7.53
2028-2029,3,12,ap,high,35,0.9793,0.0,0.0,54.68,58.83,4.16
2028-2029,3,9,ap,normal,1,0.9094,0.0,0.0,43.25,55.1,11.85
2029-2030,4,12,beyond_core,normal,1,0.9459,1.0,0.0,,82.16,
2029-2030,4,12,regular,normal,4,0.9266,0.5,0.0,41.56,48.02,9.45
2029-2030,4,10,ap,normal,11,0.9374,0.0,0.0909,47.3,55.15,7.15
2030-2031,5,10,ap,normal,10,0.9322,0.0,0.2,46.39,57.58,7.15
2031-2032,6,11,ap,normal,17,0.9295,0.0,0.0,60.97,65.72,4.74
2031-2032,6,9,regular,at_risk,5,0.6861,0.2,0.2,46.33,52.91,7.02
2025-2026,0,11,honors,high,3,0.9779,0.0,0.0,66.87,72.56,5.69
2027-2028,2,12,regular,high,2,0.9916,0.0,0.0,35.11,41.46,6.35
2027-2028,2,11,ap,normal,14,0.9161,0.0714,0.0,63.87,68.46,5.62
2029-2030,4,11,ap,high,13,0.975,0.0,0.0,55.54,61.06,5.53
2031-2032,6,10,ap,at_risk,1,0.7607,1.0,0.0,,48.71,
2031-2032,6,9,honors,normal,8,0.9296,0.25,0.0,50.92,53.67,5.62
2025-2026,0,10,honors,high,4,0.9829,0.0,0.25,53.97,59.72,1.89
2028-2029,3,10,honors,high,3,0.9698,0.3333,0.0,72.16,77.93,6.43
2029-2030,4,10,regular,at_risk,5,0.6998,0.2,0.2,45.39,47.27,-0.08
2030-2031,5,10,honors,normal,7,0.9257,0.0,0.1429,69.12,77.93,7.15
2026-2027,1,12,beyond_core,high,1,0.9931,0.0,0.0,63.98,66.58,2.6
2027-2028,2,12,honors,normal,1,0.9355,1.0,0.0,,60.58,
2031-2032,6,10,honors,normal,5,0.9327,0.0,0.0,69.33,78.91,9.58
2027-2028,2,10,ap,at_risk,2,0.7387,0.0,1.0,35.14,,
2030-2031,5,12,regular,normal,3,0.9026,0.0,0.0,35.49,37.5,2.01
2026-2027,1,9,ap,high,1,0.9783,0.0,0.0,34.51,42.39,7.88
2030-2031,5,11,honors,at_risk,1,0.7435,0.0,1.0,64.93,,
2026-2027,1,12,honors,high,1,0.9893,0.0,0.0,94.05,85.65,-8.4
2030-2031,5,9,honors,at_risk,1,0.7607,0.0,0.0,41.06,50.79,9.73
2025-2026,0,9,regular,at_risk,5,0.6943,0.0,0.2,38.68,43.38,10.69
2026-2027,1,10,regular,high,29,0.9819,0.0,0.0,35.09,41.76,6.67
2026-2027,1,11,regular,normal,18,0.9278,0.1667,0.0,43.05,47.41,7.09
2027-2028,2,11,regular,high,27,0.9824,0.0741,0.0,34.94,41.29,6.2
2027-2028,2,10,ap,normal,6,0.918,0.0,0.0,53.39,61.78,8.39
2028-2029,3,11,regular,high,18,0.9843,0.0556,0.0,41.67,47.01,5.45
2028-2029,3,11,ap,high,10,0.9801,0.1,0.0,59.78,64.52,4.17
2029-2030,4,10,regular,normal,22,0.9085,0.0909,0.0455,40.46,46.55,6.49
2029-2030,4,10,honors,normal,10,0.9259,0.1,0.1,69.39,73.9,3.89
2030-2031,5,12,regular,at_risk,1,0.709,0.0,0.0,44.16,53.33,9.17
2030-2031,5,12,beyond_core,high,2,0.986,0.0,0.0,64.3,67.25,2.95
2030-2031,5,10,ap,at_risk,3,0.6893,0.3333,0.0,62.64,66.71,8.2
2030-2031,5,9,honors,normal,10,0.9071,0.1,0.3,51.88,57.06,8.27
2030-2031,5,9,regular,high,16,0.9823,0.0625,0.0,49.59,55.28,5.93
2031-2032,6,11,ap,at_risk,5,0.6925,0.4,0.2,64.34,71.07,0.63
2031-2032,6,10,ap,normal,11,0.9098,0.0909,0.0909,54.95,66.11,7.37
2031-2032,6,9,regular,normal,24,0.9144,0.1667,0.0,42.93,50.33,6.89
2025-2026,0,11,regular,at_risk,1,0.6373,1.0,0.0,,41.95,
2027-2028,2,11,ap,at_risk,4,0.7265,0.25,0.25,53.45,58.94,5.49
2027-2028,2,9,regular,at_risk,4,0.6748,0.75,0.25,65.0,53.42,1.77
2026-2027,1,11,honors,normal,5,0.9184,0.0,0.0,70.66,74.28,3.62
2031-2032,6,9,ap,high,1,0.948,0.0,0.0,25.49,36.03,10.54
2027-2028,2,11,honors,normal,3,0.9493,0.0,0.0,71.76,73.85,2.09
2029-2030,4,12,beyond_core,at_risk,1,0.7931,0.0,1.0,40.92,,
2029-2030,4,10,ap,at_risk,1,0.7206,0.0,0.0,40.17,42.93,2.76
2030-2031,5,10,honors,at_risk,2,0.6971,1.0,0.0,,70.99,
2026-2027,1,12,ap,at_risk,2,0.7264,0.5,0.0,83.53,63.2,-3.99
2027-2028,2,11,beyond_core,high,1,0.9547,0.0,0.0,89.98,90.38,0.4
2029-2030,4,12,regular,at_risk,1,0.7084,0.0,0.0,51.51,64.6,13.09
