school_year,school_year_offset,course_id,course_name,course_track,section_id,section_label,teacher_id,teacher_label,enrolled_students,boy_present_count,eoy_present_count,boy_avg_present_score,eoy_avg_present_score,avg_observed_growth_delta,boy_nonparticipation_rate,eoy_nonparticipation_rate
2029-2030,4,MATH-ALG1,Algebra 1,regular,Y04-SEC-002,Algebra 1 - Synthetic Section 05-02,TCH-001,Teacher 01,9,9,8,45.48,54.59,6.39,0.0,0.1111
2031-2032,6,MATH-AP-CALC-AB,AP Calculus AB,ap,Y06-SEC-018,AP Calculus AB - Synthetic Section 07-18,TCH-005,Teacher 05,14,13,14,49.39,55.95,6.69,0.0714,0.0
2031-2032,6,MATH-AP-CALC-BC,AP Calculus BC,ap,Y06-SEC-023,AP Calculus BC - Synthetic Section 07-23,TCH-005,Teacher 05,12,10,11,63.26,64.66,1.89,0.1667,0.0833
2031-2032,6,MATH-GEOM,Geometry,regular,Y06-SEC-005,Geometry - Synthetic Section 07-05,TCH-001,Teacher 01,12,11,12,54.13,56.59,4.0,0.0833,0.0
2027-2028,2,MATH-AP-CALC-AB,AP Calculus AB,ap,Y02-SEC-021,AP Calculus AB - Synthetic Section 03-21,TCH-004,Teacher 04,11,10,10,59.59,62.03,3.5,0.0909,0.0909
2028-2029,3,MATH-AP-CALC-AB,AP Calculus AB,ap,Y03-SEC-020,AP Calculus AB - Synthetic Section 04-20,TCH-005,Teacher 05,14,11,12,53.23,55.11,3.13,0.2143,0.1429
2030-2031,5,MATH-AP-PRECALC,AP Precalculus,ap,Y05-SEC-013,AP Precalculus - Synthetic Section 06-13,TCH-004,Teacher 04,12,12,11,65.39,70.24,2.1,0.0,0.0833
2026-2027,1,MATH-PRECALC,Precalculus,regular,Y01-SEC-019,Precalculus - Synthetic Section 02-19,TCH-004,Teacher 04,11,9,10,42.93,53.55,6.33,0.1818,0.0909
2025-2026,0,MATH-GEOM,Geometry,regular,Y00-SEC-005,Geometry - Synthetic Section 01-05,TCH-001,Teacher 01,12,11,10,51.31,51.16,5.82,0.0833,0.1667
2025-2026,0,MATH-AP-PRECALC,AP Precalculus,ap,Y00-SEC-018,AP Precalculus - Synthetic Section 01-18,TCH-004,Teacher 04,9,8,9,43.98,49.3,5.6,0.1111,0.0
2025-2026,0,MATH-GEOM,Geometry,regular,Y00-SEC-004,Geometry - Synthetic Section 01-04,TCH-002,Teacher 02,12,12,12,44.22,49.73,5.51,0.0,0.0
2025-2026,0,MATH-PRECALC,Precalculus,regular,Y00-SEC-019,Precalculus - Synthetic Section 01-19,TCH-004,Teacher 04,8,8,8,46.38,51.35,4.98,0.0,0.0
2026-2027,1,MATH-ALG2-H,Honors Algebra 2,honors,Y01-SEC-010,Honors Algebra 2 - Synthetic Section 02-10,TCH-003,Teacher 03,14,12,12,68.05,67.38,3.95,0.1429,0.1429
2026-2027,1,MATH-ALG2-H,Honors Algebra 2,honors,Y01-SEC-012,Honors Algebra 2 - Synthetic Section 02-12,TCH-003,Teacher 03,13,12,12,59.04,66.08,6.56,0.0769,0.0769
2027-2028,2,MATH-AP-PRECALC,AP Precalculus,ap,Y02-SEC-012,AP Precalculus - Synthetic Section 03-12,TCH-004,Teacher 04,13,13,11,61.4,66.4,3.55,0.0,0.1538
2027-2028,2,MATH-BEYOND-CORE,Beyond Core Math Sequence,beyond_core,Y02-SEC-024,Beyond Core Math Sequence - Synthetic Section 03-24,TCH-004,Teacher 04,6,3,6,56.38,68.22,0.43,0.5,0.0
2027-2028,2,MATH-ALG2-H,Honors Algebra 2,honors,Y02-SEC-009,Honors Algebra 2 - Synthetic Section 03-09,TCH-003,Teacher 03,14,14,14,56.79,61.57,4.78,0.0,0.0
2027-2028,2,MATH-AP-CALC-BC,AP Calculus BC,ap,Y02-SEC-023,AP Calculus BC - Synthetic Section 03-23,TCH-005,Teacher 05,8,8,6,64.03,71.66,5.58,0.0,0.25
2027-2028,2,MATH-ALG2-H,Honors Algebra 2,honors,Y02-SEC-010,Honors Algebra 2 - Synthetic Section 03-10,TCH-003,Teacher 03,13,10,12,57.34,60.54,6.77,0.2308,0.0769
2028-2029,3,MATH-AP-CALC-AB,AP Calculus AB,ap,Y03-SEC-019,AP Calculus AB - Synthetic Section 04-19,TCH-005,Teacher 05,14,14,14,50.68,54.35,3.66,0.0,0.0
2029-2030,4,MATH-ALG2,Algebra 2,regular,Y04-SEC-008,Algebra 2 - Synthetic Section 05-08,TCH-002,Teacher 02,13,13,12,38.34,42.98,5.2,0.0,0.0769
2029-2030,4,MATH-ALG1,Algebra 1,regular,Y04-SEC-001,Algebra 1 - Synthetic Section 05-01,TCH-001,Teacher 01,10,9,10,43.04,48.46,5.72,0.1,0.0
2030-2031,5,MATH-ALG2,Algebra 2,regular,Y05-SEC-007,Algebra 2 - Synthetic Section 06-07,TCH-002,Teacher 02,11,8,11,33.08,44.97,8.4,0.2727,0.0
2030-2031,5,MATH-AP-PRECALC,AP Precalculus,ap,Y05-SEC-014,AP Precalculus - Synthetic Section 06-14,TCH-004,Teacher 04,12,11,12,52.1,57.83,5.67,0.0833,0.0
2031-2032,6,MATH-BEYOND-CORE,Beyond Core Math Sequence,beyond_core,Y06-SEC-024,Beyond Core Math Sequence - Synthetic Section 07-24,TCH-004,Teacher 04,4,3,4,61.26,62.52,-0.11,0.25,0.0
2031-2032,6,MATH-ALG2-H,Honors Algebra 2,honors,Y06-SEC-010,Honors Algebra 2 - Synthetic Section 07-10,TCH-003,Teacher 03,14,12,14,63.05,66.4,6.9,0.1429,0.0
2031-2032,6,MATH-ALG2,Algebra 2,regular,Y06-SEC-008,Algebra 2 - Synthetic Section 07-08,TCH-002,Teacher 02,12,11,10,36.62,43.51,6.33,0.0833,0.1667
2031-2032,6,MATH-ALG1,Algebra 1,regular,Y06-SEC-001,Algebra 1 - Synthetic Section 07-01,TCH-001,Teacher 01,13,13,13,42.09,49.22,7.13,0.0,0.0
2025-2026,0,MATH-ALG2,Algebra 2,regular,Y00-SEC-010,Algebra 2 - Synthetic Section 01-10,TCH-002,Teacher 02,12,11,11,52.73,59.45,5.52,0.0833,0.0833
2028-2029,3,MATH-ALG2-H,Honors Algebra 2,honors,Y03-SEC-010,Honors Algebra 2 - Synthetic Section 04-10,TCH-003,Teacher 03,10,9,10,55.07,60.67,5.62,0.1,0.0
2028-2029,3,MATH-GEOM,Geometry,regular,Y03-SEC-006,Geometry - Synthetic Section 04-06,TCH-002,Teacher 02,13,12,12,36.4,41.13,6.21,0.0769,0.0769
2028-2029,3,MATH-ALG1,Algebra 1,regular,Y03-SEC-002,Algebra 1 - Synthetic Section 04-02,TCH-001,Teacher 01,8,8,7,35.26,42.61,5.79,0.0,0.125
2030-2031,5,MATH-ALG2,Algebra 2,regular,Y05-SEC-008,Algebra 2 - Synthetic Section 06-08,TCH-002,Teacher 02,11,11,11,34.95,44.02,9.07,0.0,0.0
2031-2032,6,MATH-ALG2,Algebra 2,regular,Y06-SEC-007,Algebra 2 - Synthetic Section 07-07,TCH-002,Teacher 02,12,12,12,38.64,44.42,5.79,0.0,0.0
2025-2026,0,MATH-ALG2,Algebra 2,regular,Y00-SEC-009,Algebra 2 - Synthetic Section 01-09,TCH-002,Teacher 02,12,11,10,43.59,44.18,5.74,0.0833,0.1667
2026-2027,1,MATH-PRECALC,Precalculus,regular,Y01-SEC-017,Precalculus - Synthetic Section 02-17,TCH-003,Teacher 03,12,12,12,51.08,56.48,5.39,0.0,0.0
2026-2027,1,MATH-AP-PRECALC,AP Precalculus,ap,Y01-SEC-015,AP Precalculus - Synthetic Section 02-15,TCH-004,Teacher 04,11,11,9,52.22,57.0,5.77,0.0,0.1818
2027-2028,2,MATH-AP-CALC-BC,AP Calculus BC,ap,Y02-SEC-022,AP Calculus BC - Synthetic Section 03-22,TCH-005,Teacher 05,8,8,8,57.87,64.03,6.15,0.0,0.0
2027-2028,2,MATH-ALG1,Algebra 1,regular,Y02-SEC-001,Algebra 1 - Synthetic Section 03-01,TCH-001,Teacher 01,13,12,11,34.42,40.89,5.83,0.0769,0.1538
2028-2029,3,MATH-AP-CALC-BC,AP Calculus BC,ap,Y03-SEC-023,AP Calculus BC - Synthetic Section 04-23,TCH-005,Teacher 05,13,13,12,60.7,67.31,3.4,0.0,0.0769
2029-2030,4,MATH-BEYOND-CORE,Beyond Core Math Sequence,beyond_core,Y04-SEC-026,Beyond Core Math Sequence - Synthetic Section 05-26,TCH-004,Teacher 04,4,3,3,63.48,78.91,2.51,0.25,0.25
2029-2030,4,MATH-PRECALC,Precalculus,regular,Y04-SEC-019,Precalculus - Synthetic Section 05-19,TCH-003,Teacher 03,11,10,11,41.49,48.22,5.45,0.0909,0.0
2030-2031,5,MATH-AP-CALC-AB,AP Calculus AB,ap,Y05-SEC-020,AP Calculus AB - Synthetic Section 06-20,TCH-005,Teacher 05,11,10,9,53.57,54.77,3.78,0.0909,0.1818
2030-2031,5,MATH-ALG1,Algebra 1,regular,Y05-SEC-001,Algebra 1 - Synthetic Section 06-01,TCH-001,Teacher 01,13,11,12,48.65,46.79,3.28,0.1538,0.0769
2031-2032,6,MATH-PRECALC,Precalculus,regular,Y06-SEC-016,Precalculus - Synthetic Section 07-16,TCH-004,Teacher 04,11,10,11,39.97,44.69,4.11,0.0909,0.0
2031-2032,6,MATH-AP-PRECALC,AP Precalculus,ap,Y06-SEC-012,AP Precalculus - Synthetic Section 07-12,TCH-004,Teacher 04,11,11,11,59.5,65.15,5.64,0.0,0.0
2025-2026,0,MATH-AP-CALC-BC,AP Calculus BC,ap,Y00-SEC-025,AP Calculus BC - Synthetic Section 01-25,TCH-005,Teacher 05,12,12,10,61.34,70.73,5.85,0.0,0.1667
2025-2026,0,MATH-ALG1,Algebra 1,regular,Y00-SEC-002,Algebra 1 - Synthetic Section 01-02,TCH-001,Teacher 01,10,9,10,31.42,40.24,8.02,0.1,0.0
2026-2027,1,MATH-AP-PRECALC,AP Precalculus,ap,Y01-SEC-013,AP Precalculus - Synthetic Section 02-13,TCH-004,Teacher 04,12,10,12,56.84,56.54,2.27,0.1667,0.0
2031-2032,6,MATH-PRECALC,Precalculus,regular,Y06-SEC-017,Precalculus - Synthetic Section 07-17,TCH-003,Teacher 03,11,10,10,42.37,48.92,4.78,0.0909,0.0909
2030-2031,5,MATH-AP-CALC-AB,AP Calculus AB,ap,Y05-SEC-019,AP Calculus AB - Synthetic Section 06-19,TCH-005,Teacher 05,12,12,12,37.6,46.69,9.09,0.0,0.0
2025-2026,0,MATH-GEOM,Geometry,regular,Y00-SEC-006,Geometry - Synthetic Section 01-06,TCH-002,Teacher 02,12,11,10,53.44,56.56,4.04,0.0833,0.1667
2026-2027,1,MATH-ALG2,Algebra 2,regular,Y01-SEC-006,Algebra 2 - Synthetic Section 02-06,TCH-002,Teacher 02,11,10,10,30.74,40.63,9.85,0.0909,0.0909
2026-2027,1,MATH-PRECALC,Precalculus,regular,Y01-SEC-018,Precalculus - Synthetic Section 02-18,TCH-003,Teacher 03,12,11,11,52.54,55.88,5.0,0.0833,0.0833
2026-2027,1,MATH-ALG2-H,Honors Algebra 2,honors,Y01-SEC-011,Honors Algebra 2 - Synthetic Section 02-11,TCH-003,Teacher 03,13,13,12,70.08,75.39,5.92,0.0,0.0769
2026-2027,1,MATH-ALG2,Algebra 2,regular,Y01-SEC-008,Algebra 2 - Synthetic Section 02-08,TCH-002,Teacher 02,11,10,11,32.94,40.34,6.84,0.0909,0.0
2027-2028,2,MATH-AP-CALC-AB,AP Calculus AB,ap,Y02-SEC-019,AP Calculus AB - Synthetic Section 03-19,TCH-005,Teacher 05,12,12,12,58.51,62.46,3.95,0.0,0.0
2027-2028,2,MATH-PRECALC,Precalculus,regular,Y02-SEC-015,Precalculus - Synthetic Section 03-15,TCH-003,Teacher 03,13,12,12,30.68,38.89,6.14,0.0769,0.0769
2027-2028,2,MATH-AP-PRECALC,AP Precalculus,ap,Y02-SEC-013,AP Precalculus - Synthetic Section 03-13,TCH-004,Teacher 04,13,12,12,66.44,72.63,6.18,0.0769,0.0769
2027-2028,2,MATH-GEOM,Geometry,regular,Y02-SEC-004,Geometry - Synthetic Section 03-04,TCH-002,Teacher 02,12,11,12,38.32,45.58,6.62,0.0833,0.0
2028-2029,3,MATH-PRECALC,Precalculus,regular,Y03-SEC-016,Precalculus - Synthetic Section 04-16,TCH-003,Teacher 03,13,13,13,40.35,44.49,4.14,0.0,0.0
2028-2029,3,MATH-AP-PRECALC,AP Precalculus,ap,Y03-SEC-015,AP Precalculus - Synthetic Section 04-15,TCH-004,Teacher 04,9,9,8,53.29,63.23,5.41,0.0,0.1111
2028-2029,3,MATH-AP-PRECALC,AP Precalculus,ap,Y03-SEC-013,AP Precalculus - Synthetic Section 04-13,TCH-004,Teacher 04,10,9,9,48.23,54.95,6.45,0.1,0.1
2029-2030,4,MATH-AP-PRECALC,AP Precalculus,ap,Y04-SEC-014,AP Precalculus - Synthetic Section 05-14,TCH-004,Teacher 04,11,11,11,64.18,69.35,5.16,0.0,0.0
2029-2030,4,MATH-GEOM,Geometry,regular,Y04-SEC-005,Geometry - Synthetic Section 05-05,TCH-001,Teacher 01,13,12,12,45.23,53.45,6.09,0.0769,0.0769
2029-2030,4,MATH-ALG2-H,Honors Algebra 2,honors,Y04-SEC-012,Honors Algebra 2 - Synthetic Section 05-12,TCH-003,Teacher 03,11,9,10,55.06,59.5,5.71,0.1818,0.0909
2030-2031,5,MATH-AP-CALC-BC,AP Calculus BC,ap,Y05-SEC-023,AP Calculus BC - Synthetic Section 06-23,TCH-005,Teacher 05,11,9,11,64.15,69.55,2.91,0.1818,0.0
2030-2031,5,MATH-PRECALC,Precalculus,regular,Y05-SEC-018,Precalculus - Synthetic Section 06-18,TCH-003,Teacher 03,13,12,12,38.48,43.49,6.76,0.0769,0.0769
2030-2031,5,MATH-ALG2-H,Honors Algebra 2,honors,Y05-SEC-012,Honors Algebra 2 - Synthetic Section 06-12,TCH-003,Teacher 03,10,8,9,63.73,74.92,7.66,0.2,0.1
2031-2032,6,MATH-AP-CALC-AB,AP Calculus AB,ap,Y06-SEC-019,AP Calculus AB - Synthetic Section 07-19,TCH-005,Teacher 05,14,13,13,51.38,55.58,2.41,0.0714,0.0714
2031-2032,6,MATH-AP-PRECALC,AP Precalculus,ap,Y06-SEC-013,AP Precalculus - Synthetic Section 07-13,TCH-004,Teacher 04,11,9,11,63.54,69.44,7.18,0.1818,0.0
2031-2032,6,MATH-AP-CALC-AB,AP Calculus AB,ap,Y06-SEC-020,AP Calculus AB - Synthetic Section 07-20,TCH-005,Teacher 05,14,14,12,52.4,59.57,4.85,0.0,0.1429
2027-2028,2,MATH-ALG2,Algebra 2,regular,Y02-SEC-008,Algebra 2 - Synthetic Section 03-08,TCH-002,Teacher 02,13,13,13,33.54,37.58,4.04,0.0,0.0
2028-2029,3,MATH-AP-CALC-AB,AP Calculus AB,ap,Y03-SEC-021,AP Calculus AB - Synthetic Section 04-21,TCH-005,Teacher 05,13,12,11,45.63,51.13,6.27,0.0769,0.1538
2031-2032,6,MATH-ALG2,Algebra 2,regular,Y06-SEC-006,Algebra 2 - Synthetic Section 07-06,TCH-002,Teacher 02,12,12,11,39.3,48.63,7.63,0.0,0.0833
2026-2027,1,MATH-AP-PRECALC,AP Precalculus,ap,Y01-SEC-014,AP Precalculus - Synthetic Section 02-14,TCH-004,Teacher 04,11,11,9,56.08,64.98,6.68,0.0,0.1818
2025-2026,0,MATH-AP-PRECALC,AP Precalculus,ap,Y00-SEC-017,AP Precalculus - Synthetic Section 01-17,TCH-004,Teacher 04,10,10,10,61.05,64.8,3.75,0.0,0.0
2025-2026,0,MATH-PRECALC,Precalculus,regular,Y00-SEC-020,Precalculus - Synthetic Section 01-20,TCH-004,Teacher 04,8,8,8,58.38,62.18,3.8,0.0,0.0
2025-2026,0,MATH-ALG2-H,Honors Algebra 2,honors,Y00-SEC-015,Honors Algebra 2 - Synthetic Section 01-15,TCH-003,Teacher 03,10,10,10,49.51,56.43,6.92,0.0,0.0
2026-2027,1,MATH-AP-PRECALC,AP Precalculus,ap,Y01-SEC-016,AP Precalculus - Synthetic Section 02-16,TCH-004,Teacher 04,11,11,11,55.26,60.08,4.82,0.0,0.0
2026-2027,1,MATH-AP-CALC-BC,AP Calculus BC,ap,Y01-SEC-023,AP Calculus BC - Synthetic Section 02-23,TCH-005,Teacher 05,13,12,11,64.65,68.21,1.93,0.0769,0.1538
2026-2027,1,MATH-ALG2,Algebra 2,regular,Y01-SEC-009,Algebra 2 - Synthetic Section 02-09,TCH-002,Teacher 02,10,8,10,34.6,42.68,8.86,0.2,0.0
2026-2027,1,MATH-ALG1,Algebra 1,regular,Y01-SEC-001,Algebra 1 - Synthetic Section 02-01,TCH-001,Teacher 01,13,11,12,35.93,44.12,6.79,0.1538,0.0769
2027-2028,2,MATH-PRECALC,Precalculus,regular,Y02-SEC-016,Precalculus - Synthetic Section 03-16,TCH-004,Teacher 04,13,12,12,39.19,45.99,5.24,0.0769,0.0769
2027-2028,2,MATH-GEOM,Geometry,regular,Y02-SEC-002,Geometry - Synthetic Section 03-02,TCH-002,Teacher 02,12,11,10,42.24,45.1,6.4,0.0833,0.1667
2028-2029,3,MATH-ALG2,Algebra 2,regular,Y03-SEC-009,Algebra 2 - Synthetic Section 04-09,TCH-002,Teacher 02,11,11,11,41.59,46.81,5.22,0.0,0.0
2029-2030,4,MATH-AP-CALC-AB,AP Calculus AB,ap,Y04-SEC-020,AP Calculus AB - Synthetic Section 05-20,TCH-005,Teacher 05,11,11,11,45.12,49.94,4.82,0.0,0.0
2030-2031,5,MATH-AP-CALC-BC,AP Calculus BC,ap,Y05-SEC-024,AP Calculus BC - Synthetic Section 06-24,TCH-005,Teacher 05,10,10,10,58.87,62.13,3.25,0.0,0.0
2030-2031,5,MATH-PRECALC,Precalculus,regular,Y05-SEC-016,Precalculus - Synthetic Section 06-16,TCH-003,Teacher 03,13,13,12,41.6,45.64,3.93,0.0,0.0769
2030-2031,5,MATH-ALG2,Algebra 2,regular,Y05-SEC-006,Algebra 2 - Synthetic Section 06-06,TCH-002,Teacher 02,12,12,9,43.74,52.83,10.39,0.0,0.25
2030-2031,5,MATH-GEOM,Geometry,regular,Y05-SEC-003,Geometry - Synthetic Section 06-03,TCH-001,Teacher 01,13,11,13,44.44,48.36,6.75,0.1538,0.0
2030-2031,5,MATH-GEOM,Geometry,regular,Y05-SEC-004,Geometry - Synthetic Section 06-04,TCH-002,Teacher 02,13,13,12,42.09,49.81,9.06,0.0,0.0769
2031-2032,6,MATH-ALG2-H,Honors Algebra 2,honors,Y06-SEC-009,Honors Algebra 2 - Synthetic Section 07-09,TCH-003,Teacher 03,14,14,14,65.05,70.62,5.57,0.0,0.0
2025-2026,0,MATH-AP-CALC-BC,AP Calculus BC,ap,Y00-SEC-026,AP Calculus BC - Synthetic Section 01-26,TCH-005,Teacher 05,11,11,10,62.6,70.46,5.55,0.0,0.0909
2028-2029,3,MATH-BEYOND-CORE,Beyond Core Math Sequence,beyond_core,Y03-SEC-025,Beyond Core Math Sequence - Synthetic Section 04-25,TCH-004,Teacher 04,6,6,5,75.06,81.71,5.94,0.0,0.1667
2029-2030,4,MATH-AP-CALC-BC,AP Calculus BC,ap,Y04-SEC-025,AP Calculus BC - Synthetic Section 05-25,TCH-005,Teacher 05,8,8,8,58.95,60.54,1.6,0.0,0.0
2028-2029,3,MATH-ALG2-H,Honors Algebra 2,honors,Y03-SEC-012,Honors Algebra 2 - Synthetic Section 04-12,TCH-003,Teacher 03,9,8,8,53.49,62.17,8.68,0.1111,0.1111
2026-2027,1,MATH-GEOM,Geometry,regular,Y01-SEC-004,Geometry - Synthetic Section 02-04,TCH-002,Teacher 02,13,12,11,42.29,51.12,8.05,0.0769,0.1538
2027-2028,2,MATH-ALG2,Algebra 2,regular,Y02-SEC-006,Algebra 2 - Synthetic Section 03-06,TCH-002,Teacher 02,13,11,12,35.2,41.09,5.91,0.1538,0.0769
2028-2029,3,MATH-AP-CALC-AB,AP Calculus AB,ap,Y03-SEC-022,AP Calculus AB - Synthetic Section 04-22,TCH-005,Teacher 05,13,12,12,46.78,53.0,6.22,0.0769,0.0769
2028-2029,3,MATH-AP-PRECALC,AP Precalculus,ap,Y03-SEC-014,AP Precalculus - Synthetic Section 04-14,TCH-004,Teacher 04,10,9,9,64.46,67.89,3.88,0.1,0.1
2028-2029,3,MATH-GEOM,Geometry,regular,Y03-SEC-004,Geometry - Synthetic Section 04-04,TCH-002,Teacher 02,14,14,12,40.28,48.67,6.58,0.0,0.1429
2029-2030,4,MATH-AP-CALC-BC,AP Calculus BC,ap,Y04-SEC-024,AP Calculus BC - Synthetic Section 05-24,TCH-005,Teacher 05,9,8,9,61.12,67.81,6.04,0.1111,0.0
2029-2030,4,MATH-ALG2,Algebra 2,regular,Y04-SEC-009,Algebra 2 - Synthetic Section 05-09,TCH-002,Teacher 02,13,11,13,35.54,42.11,4.43,0.1538,0.0
2030-2031,5,MATH-BEYOND-CORE,Beyond Core Math Sequence,beyond_core,Y05-SEC-025,Beyond Core Math Sequence - Synthetic Section 06-25,TCH-004,Teacher 04,5,4,5,68.04,74.77,4.12,0.2,0.0
2030-2031,5,MATH-ALG2,Algebra 2,regular,Y05-SEC-009,Algebra 2 - Synthetic Section 06-09,TCH-002,Teacher 02,11,10,9,33.81,35.51,2.33,0.0909,0.1818
