lms_enrollment_fact_id,student_dim_id,course_dim_id,section_dim_id,teacher_dim_id,extraction_batch_id,source_system,school_year,canvas_course_id,course_id,section_id,teacher_id,sis_user_id,grade_level,enrollment_status,is_active_enrollment,reconciliation_status
14,86,1,2,1,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Y00-SEC-002,TCH-001,SYN-SIS-000086,9,active,true,matched
15,171,1,2,1,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Y00-SEC-002,TCH-001,SYN-SIS-000171,9,active,true,matched
16,204,1,2,1,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Y00-SEC-002,TCH-001,SYN-SIS-000204,9,active,true,matched
17,205,1,2,1,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Y00-SEC-002,TCH-001,SYN-SIS-000205,9,active,true,matched
18,221,1,2,1,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Y00-SEC-002,TCH-001,SYN-SIS-000221,9,active,true,matched
19,231,1,2,1,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Y00-SEC-002,TCH-001,SYN-SIS-000231,9,active,true,matched
20,254,1,2,1,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Y00-SEC-002,TCH-001,SYN-SIS-000254,10,active,true,matched
21,263,1,2,1,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG1-2025-2026,MATH-ALG1,Y00-SEC-002,TCH-001,SYN-SIS-000263,9,active,true,matched
22,23,3,9,2,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-009,TCH-002,SYN-SIS-000023,10,active,true,matched
23,59,3,9,2,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-009,TCH-002,SYN-SIS-000059,10,active,true,matched
24,61,3,9,2,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-009,TCH-002,SYN-SIS-000061,10,active,true,matched
25,64,3,9,2,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-009,TCH-002,SYN-SIS-000064,11,active,true,matched
26,79,3,9,2,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-009,TCH-002,SYN-SIS-000079,10,active,true,matched
27,140,3,9,2,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-009,TCH-002,SYN-SIS-000140,10,active,true,matched
28,191,3,9,2,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-009,TCH-002,SYN-SIS-000191,11,active,true,matched
29,209,3,9,2,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-009,TCH-002,SYN-SIS-000209,11,active,true,matched
30,229,3,9,2,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-009,TCH-002,SYN-SIS-000229,11,active,true,matched
31,234,3,9,2,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-009,TCH-002,SYN-SIS-000234,10,active,true,matched
32,244,3,9,2,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-009,TCH-002,SYN-SIS-000244,10,active,true,matched
33,249,3,9,2,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-009,TCH-002,SYN-SIS-000249,10,active,true,matched
34,4,3,10,2,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-010,TCH-002,SYN-SIS-000004,11,active,true,matched
35,14,3,10,2,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-010,TCH-002,SYN-SIS-000014,10,active,true,matched
36,33,3,10,2,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-010,TCH-002,SYN-SIS-000033,10,active,true,matched
37,66,3,10,2,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-010,TCH-002,SYN-SIS-000066,10,active,true,matched
38,69,3,10,2,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-010,TCH-002,SYN-SIS-000069,10,active,true,matched
39,88,3,10,2,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-010,TCH-002,SYN-SIS-000088,10,active,true,matched
40,91,3,10,2,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-010,TCH-002,SYN-SIS-000091,10,active,true,matched
41,97,3,10,2,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-010,TCH-002,SYN-SIS-000097,10,active,true,matched
42,121,3,10,2,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-010,TCH-002,SYN-SIS-000121,10,active,true,matched
43,189,3,10,2,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-010,TCH-002,SYN-SIS-000189,10,active,true,matched
44,242,3,10,2,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-010,TCH-002,SYN-SIS-000242,10,active,true,matched
45,275,3,10,2,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-010,TCH-002,SYN-SIS-000275,11,active,true,matched
46,2,3,11,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-011,TCH-003,SYN-SIS-000002,10,active,true,matched
47,3,3,11,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-011,TCH-003,SYN-SIS-000003,11,active,true,matched
48,43,3,11,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-011,TCH-003,SYN-SIS-000043,11,active,true,matched
49,71,3,11,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-011,TCH-003,SYN-SIS-000071,11,active,true,matched
50,76,3,11,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-011,TCH-003,SYN-SIS-000076,10,active,true,matched
51,87,3,11,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-011,TCH-003,SYN-SIS-000087,10,active,true,matched
52,133,3,11,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-011,TCH-003,SYN-SIS-000133,11,active,true,matched
53,134,3,11,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-011,TCH-003,SYN-SIS-000134,10,active,true,matched
54,164,3,11,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-011,TCH-003,SYN-SIS-000164,10,active,true,matched
55,218,3,11,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-011,TCH-003,SYN-SIS-000218,11,active,true,matched
56,235,3,11,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-2025-2026,MATH-ALG2,Y00-SEC-011,TCH-003,SYN-SIS-000235,10,active,true,matched
57,31,4,12,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-012,TCH-003,SYN-SIS-000031,9,active,true,matched
58,45,4,12,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-012,TCH-003,SYN-SIS-000045,9,active,true,matched
59,92,4,12,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-012,TCH-003,SYN-SIS-000092,9,active,true,matched
60,98,4,12,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-012,TCH-003,SYN-SIS-000098,10,active,true,matched
61,109,4,12,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-012,TCH-003,SYN-SIS-000109,10,active,true,matched
62,154,4,12,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-012,TCH-003,SYN-SIS-000154,11,active,true,matched
63,155,4,12,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-012,TCH-003,SYN-SIS-000155,10,active,true,matched
64,192,4,12,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-012,TCH-003,SYN-SIS-000192,11,active,true,matched
65,251,4,12,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-012,TCH-003,SYN-SIS-000251,9,active,true,matched
66,255,4,12,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-012,TCH-003,SYN-SIS-000255,11,active,true,matched
67,281,4,12,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-012,TCH-003,SYN-SIS-000281,9,active,true,matched
68,55,4,13,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-013,TCH-003,SYN-SIS-000055,9,active,true,matched
69,90,4,13,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-013,TCH-003,SYN-SIS-000090,11,active,true,matched
70,94,4,13,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-013,TCH-003,SYN-SIS-000094,10,active,true,matched
71,120,4,13,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-013,TCH-003,SYN-SIS-000120,10,active,true,matched
72,127,4,13,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-013,TCH-003,SYN-SIS-000127,9,active,true,matched
73,130,4,13,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-013,TCH-003,SYN-SIS-000130,11,active,true,matched
74,159,4,13,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-013,TCH-003,SYN-SIS-000159,10,active,true,matched
75,173,4,13,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-013,TCH-003,SYN-SIS-000173,9,active,true,matched
76,238,4,13,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-013,TCH-003,SYN-SIS-000238,10,active,true,matched
77,257,4,13,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-013,TCH-003,SYN-SIS-000257,10,active,true,matched
78,271,4,13,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-013,TCH-003,SYN-SIS-000271,9,active,true,matched
79,1,4,14,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-014,TCH-003,SYN-SIS-000001,9,active,true,matched
80,27,4,14,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-014,TCH-003,SYN-SIS-000027,10,active,true,matched
81,57,4,14,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-014,TCH-003,SYN-SIS-000057,9,active,true,matched
82,112,4,14,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-014,TCH-003,SYN-SIS-000112,9,active,true,matched
83,135,4,14,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-014,TCH-003,SYN-SIS-000135,11,active,true,matched
84,148,4,14,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-014,TCH-003,SYN-SIS-000148,10,active,true,matched
85,174,4,14,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-014,TCH-003,SYN-SIS-000174,10,active,true,matched
86,181,4,14,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-014,TCH-003,SYN-SIS-000181,10,active,true,matched
87,196,4,14,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-014,TCH-003,SYN-SIS-000196,9,active,true,matched
88,236,4,14,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-014,TCH-003,SYN-SIS-000236,9,active,true,matched
89,274,4,14,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-014,TCH-003,SYN-SIS-000274,9,active,true,matched
90,13,4,15,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-015,TCH-003,SYN-SIS-000013,10,active,true,matched
91,16,4,15,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-015,TCH-003,SYN-SIS-000016,9,active,true,matched
92,108,4,15,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-015,TCH-003,SYN-SIS-000108,11,active,true,matched
93,160,4,15,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-015,TCH-003,SYN-SIS-000160,9,active,true,matched
94,177,4,15,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-015,TCH-003,SYN-SIS-000177,9,active,true,matched
95,202,4,15,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-015,TCH-003,SYN-SIS-000202,10,active,true,matched
96,230,4,15,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-015,TCH-003,SYN-SIS-000230,10,active,true,matched
97,237,4,15,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-015,TCH-003,SYN-SIS-000237,10,active,true,matched
98,241,4,15,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-015,TCH-003,SYN-SIS-000241,10,active,true,matched
99,272,4,15,3,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-ALG2-H-2025-2026,MATH-ALG2-H,Y00-SEC-015,TCH-003,SYN-SIS-000272,11,active,true,matched
100,38,7,21,5,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-AP-CALC-AB-2025-2026,MATH-AP-CALC-AB,Y00-SEC-021,TCH-005,SYN-SIS-000038,11,active,true,matched
101,75,7,21,5,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-AP-CALC-AB-2025-2026,MATH-AP-CALC-AB,Y00-SEC-021,TCH-005,SYN-SIS-000075,11,active,true,matched
102,77,7,21,5,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-AP-CALC-AB-2025-2026,MATH-AP-CALC-AB,Y00-SEC-021,TCH-005,SYN-SIS-000077,11,active,true,matched
103,96,7,21,5,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-AP-CALC-AB-2025-2026,MATH-AP-CALC-AB,Y00-SEC-021,TCH-005,SYN-SIS-000096,12,active,true,matched
104,107,7,21,5,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-AP-CALC-AB-2025-2026,MATH-AP-CALC-AB,Y00-SEC-021,TCH-005,SYN-SIS-000107,11,active,true,matched
105,137,7,21,5,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-AP-CALC-AB-2025-2026,MATH-AP-CALC-AB,Y00-SEC-021,TCH-005,SYN-SIS-000137,12,active,true,matched
106,147,7,21,5,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-AP-CALC-AB-2025-2026,MATH-AP-CALC-AB,Y00-SEC-021,TCH-005,SYN-SIS-000147,11,active,true,matched
107,158,7,21,5,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-AP-CALC-AB-2025-2026,MATH-AP-CALC-AB,Y00-SEC-021,TCH-005,SYN-SIS-000158,11,active,true,matched
108,175,7,21,5,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-AP-CALC-AB-2025-2026,MATH-AP-CALC-AB,Y00-SEC-021,TCH-005,SYN-SIS-000175,11,active,true,matched
109,182,7,21,5,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-AP-CALC-AB-2025-2026,MATH-AP-CALC-AB,Y00-SEC-021,TCH-005,SYN-SIS-000182,12,active,true,matched
110,227,7,21,5,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-AP-CALC-AB-2025-2026,MATH-AP-CALC-AB,Y00-SEC-021,TCH-005,SYN-SIS-000227,11,active,true,matched
111,232,7,21,5,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-AP-CALC-AB-2025-2026,MATH-AP-CALC-AB,Y00-SEC-021,TCH-005,SYN-SIS-000232,12,active,true,matched
112,256,7,21,5,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-AP-CALC-AB-2025-2026,MATH-AP-CALC-AB,Y00-SEC-021,TCH-005,SYN-SIS-000256,12,active,true,matched
113,6,7,22,5,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-AP-CALC-AB-2025-2026,MATH-AP-CALC-AB,Y00-SEC-022,TCH-005,SYN-SIS-000006,11,active,true,matched
114,7,7,22,5,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-AP-CALC-AB-2025-2026,MATH-AP-CALC-AB,Y00-SEC-022,TCH-005,SYN-SIS-000007,12,active,true,matched
115,15,7,22,5,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-AP-CALC-AB-2025-2026,MATH-AP-CALC-AB,Y00-SEC-022,TCH-005,SYN-SIS-000015,11,active,true,matched
116,82,7,22,5,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-AP-CALC-AB-2025-2026,MATH-AP-CALC-AB,Y00-SEC-022,TCH-005,SYN-SIS-000082,11,active,true,matched
117,95,7,22,5,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-AP-CALC-AB-2025-2026,MATH-AP-CALC-AB,Y00-SEC-022,TCH-005,SYN-SIS-000095,12,active,true,matched
118,179,7,22,5,synthetic_canvas_profile_extract_v2,synthetic_canvas,2025-2026,SYN-CANVAS-MATH-AP-CALC-AB-2025-2026,MATH-AP-CALC-AB,Y00-SEC-022,TCH-005,SYN-SIS-000179,12,active,true,matched
