school_year,school_year_offset,section_id,course_id,section_label,teacher_id,teacher_label,period_label,target_enrollment,max_capacity,class_size_band,section_growth_effect,teacher_growth_effect
2026-2027,1,Y01-SEC-013,MATH-AP-PRECALC,AP Precalculus - Synthetic Section 02-13,TCH-004,Teacher 04,Period 1,12,12,small,0.2,-0.1
2026-2027,1,Y01-SEC-014,MATH-AP-PRECALC,AP Precalculus - Synthetic Section 02-14,TCH-004,Teacher 04,Period 2,11,12,small,0.3,-0.1
2026-2027,1,Y01-SEC-015,MATH-AP-PRECALC,AP Precalculus - Synthetic Section 02-15,TCH-004,Teacher 04,Period 3,11,12,small,-0.3,-0.1
2026-2027,1,Y01-SEC-016,MATH-AP-PRECALC,AP Precalculus - Synthetic Section 02-16,TCH-004,Teacher 04,Period 4,11,12,small,-0.2,-0.1
2026-2027,1,Y01-SEC-017,MATH-PRECALC,Precalculus - Synthetic Section 02-17,TCH-003,Teacher 03,Period 4,12,12,small,-0.1,0.2
2026-2027,1,Y01-SEC-018,MATH-PRECALC,Precalculus - Synthetic Section 02-18,TCH-003,Teacher 03,Period 5,12,12,small,0.0,0.2
2026-2027,1,Y01-SEC-019,MATH-PRECALC,Precalculus - Synthetic Section 02-19,TCH-004,Teacher 04,Period 5,11,12,small,0.1,-0.1
2026-2027,1,Y01-SEC-020,MATH-AP-CALC-AB,AP Calculus AB - Synthetic Section 02-20,TCH-005,Teacher 05,Period 1,14,18,standard,0.2,0.05
2026-2027,1,Y01-SEC-021,MATH-AP-CALC-AB,AP Calculus AB - Synthetic Section 02-21,TCH-005,Teacher 05,Period 2,13,18,standard,0.3,0.05
2026-2027,1,Y01-SEC-022,MATH-AP-CALC-BC,AP Calculus BC - Synthetic Section 02-22,TCH-005,Teacher 05,Period 3,14,18,standard,-0.3,0.05
2026-2027,1,Y01-SEC-023,MATH-AP-CALC-BC,AP Calculus BC - Synthetic Section 02-23,TCH-005,Teacher 05,Period 4,13,18,standard,-0.2,0.05
2026-2027,1,Y01-SEC-024,MATH-BEYOND-CORE,Beyond Core Math Sequence - Synthetic Section 02-24,TCH-005,Teacher 05,Period 5,4,6,micro,-0.1,0.05
2027-2028,2,Y02-SEC-001,MATH-ALG1,Algebra 1 - Synthetic Section 03-01,TCH-001,Teacher 01,Period 1,13,18,standard,-0.3,-0.25
2027-2028,2,Y02-SEC-002,MATH-GEOM,Geometry - Synthetic Section 03-02,TCH-002,Teacher 02,Period 1,12,12,small,-0.2,0.1
2027-2028,2,Y02-SEC-003,MATH-GEOM,Geometry - Synthetic Section 03-03,TCH-001,Teacher 01,Period 2,12,12,small,-0.1,-0.25
2027-2028,2,Y02-SEC-004,MATH-GEOM,Geometry - Synthetic Section 03-04,TCH-002,Teacher 02,Period 2,12,12,small,0.0,0.1
2027-2028,2,Y02-SEC-005,MATH-GEOM,Geometry - Synthetic Section 03-05,TCH-001,Teacher 01,Period 3,12,12,small,0.1,-0.25
2027-2028,2,Y02-SEC-006,MATH-ALG2,Algebra 2 - Synthetic Section 03-06,TCH-002,Teacher 02,Period 3,13,18,standard,0.2,0.1
2027-2028,2,Y02-SEC-007,MATH-ALG2,Algebra 2 - Synthetic Section 03-07,TCH-002,Teacher 02,Period 4,13,18,standard,0.3,0.1
2027-2028,2,Y02-SEC-008,MATH-ALG2,Algebra 2 - Synthetic Section 03-08,TCH-002,Teacher 02,Period 5,13,18,standard,-0.3,0.1
2027-2028,2,Y02-SEC-009,MATH-ALG2-H,Honors Algebra 2 - Synthetic Section 03-09,TCH-003,Teacher 03,Period 1,14,18,standard,-0.2,0.2
2027-2028,2,Y02-SEC-010,MATH-ALG2-H,Honors Algebra 2 - Synthetic Section 03-10,TCH-003,Teacher 03,Period 2,13,18,standard,-0.1,0.2
2027-2028,2,Y02-SEC-011,MATH-AP-PRECALC,AP Precalculus - Synthetic Section 03-11,TCH-004,Teacher 04,Period 1,14,18,standard,0.0,-0.1
2027-2028,2,Y02-SEC-012,MATH-AP-PRECALC,AP Precalculus - Synthetic Section 03-12,TCH-004,Teacher 04,Period 2,13,18,standard,0.1,-0.1
2027-2028,2,Y02-SEC-013,MATH-AP-PRECALC,AP Precalculus - Synthetic Section 03-13,TCH-004,Teacher 04,Period 3,13,18,standard,0.2,-0.1
2027-2028,2,Y02-SEC-014,MATH-PRECALC,Precalculus - Synthetic Section 03-14,TCH-003,Teacher 03,Period 3,14,18,standard,0.3,0.2
2027-2028,2,Y02-SEC-015,MATH-PRECALC,Precalculus - Synthetic Section 03-15,TCH-003,Teacher 03,Period 4,13,18,standard,-0.3,0.2
2027-2028,2,Y02-SEC-016,MATH-PRECALC,Precalculus - Synthetic Section 03-16,TCH-004,Teacher 04,Period 4,13,18,standard,-0.2,-0.1
2027-2028,2,Y02-SEC-017,MATH-AP-CALC-AB,AP Calculus AB - Synthetic Section 03-17,TCH-005,Teacher 05,Period 1,12,12,small,-0.1,0.05
2027-2028,2,Y02-SEC-018,MATH-AP-CALC-AB,AP Calculus AB - Synthetic Section 03-18,TCH-005,Teacher 05,Period 2,12,12,small,0.0,0.05
2027-2028,2,Y02-SEC-019,MATH-AP-CALC-AB,AP Calculus AB - Synthetic Section 03-19,TCH-005,Teacher 05,Period 3,12,12,small,0.1,0.05
2027-2028,2,Y02-SEC-020,MATH-AP-CALC-AB,AP Calculus AB - Synthetic Section 03-20,TCH-005,Teacher 05,Period 4,11,12,small,0.2,0.05
2027-2028,2,Y02-SEC-021,MATH-AP-CALC-AB,AP Calculus AB - Synthetic Section 03-21,TCH-004,Teacher 04,Period 5,11,12,small,0.3,-0.1
2027-2028,2,Y02-SEC-022,MATH-AP-CALC-BC,AP Calculus BC - Synthetic Section 03-22,TCH-005,Teacher 05,Period 5,8,12,small,-0.3,0.05
2027-2028,2,Y02-SEC-023,MATH-AP-CALC-BC,AP Calculus BC - Synthetic Section 03-23,TCH-005,Teacher 05,Period 6,8,12,small,-0.2,0.05
2027-2028,2,Y02-SEC-024,MATH-BEYOND-CORE,Beyond Core Math Sequence - Synthetic Section 03-24,TCH-004,Teacher 04,Period 6,6,6,micro,-0.1,-0.1
2028-2029,3,Y03-SEC-001,MATH-ALG1,Algebra 1 - Synthetic Section 04-01,TCH-001,Teacher 01,Period 1,8,12,small,-0.3,-0.25
2028-2029,3,Y03-SEC-002,MATH-ALG1,Algebra 1 - Synthetic Section 04-02,TCH-001,Teacher 01,Period 2,8,12,small,-0.2,-0.25
2028-2029,3,Y03-SEC-003,MATH-GEOM,Geometry - Synthetic Section 04-03,TCH-002,Teacher 02,Period 1,14,18,standard,-0.1,0.1
2028-2029,3,Y03-SEC-004,MATH-GEOM,Geometry - Synthetic Section 04-04,TCH-002,Teacher 02,Period 2,14,18,standard,0.0,0.1
2028-2029,3,Y03-SEC-005,MATH-GEOM,Geometry - Synthetic Section 04-05,TCH-001,Teacher 01,Period 3,14,18,standard,0.1,-0.25
2028-2029,3,Y03-SEC-006,MATH-GEOM,Geometry - Synthetic Section 04-06,TCH-002,Teacher 02,Period 3,13,18,standard,0.2,0.1
2028-2029,3,Y03-SEC-007,MATH-ALG2,Algebra 2 - Synthetic Section 04-07,TCH-002,Teacher 02,Period 4,12,12,small,0.3,0.1
2028-2029,3,Y03-SEC-008,MATH-ALG2,Algebra 2 - Synthetic Section 04-08,TCH-002,Teacher 02,Period 5,11,12,small,-0.3,0.1
2028-2029,3,Y03-SEC-009,MATH-ALG2,Algebra 2 - Synthetic Section 04-09,TCH-002,Teacher 02,Period 6,11,12,small,-0.2,0.1
2028-2029,3,Y03-SEC-010,MATH-ALG2-H,Honors Algebra 2 - Synthetic Section 04-10,TCH-003,Teacher 03,Period 1,10,12,small,-0.1,0.2
2028-2029,3,Y03-SEC-011,MATH-ALG2-H,Honors Algebra 2 - Synthetic Section 04-11,TCH-003,Teacher 03,Period 2,10,12,small,0.0,0.2
2028-2029,3,Y03-SEC-012,MATH-ALG2-H,Honors Algebra 2 - Synthetic Section 04-12,TCH-003,Teacher 03,Period 3,9,12,small,0.1,0.2
2028-2029,3,Y03-SEC-013,MATH-AP-PRECALC,AP Precalculus - Synthetic Section 04-13,TCH-004,Teacher 04,Period 1,10,12,small,0.2,-0.1
2028-2029,3,Y03-SEC-014,MATH-AP-PRECALC,AP Precalculus - Synthetic Section 04-14,TCH-004,Teacher 04,Period 2,10,12,small,0.3,-0.1
2028-2029,3,Y03-SEC-015,MATH-AP-PRECALC,AP Precalculus - Synthetic Section 04-15,TCH-004,Teacher 04,Period 3,9,12,small,-0.3,-0.1
2028-2029,3,Y03-SEC-016,MATH-PRECALC,Precalculus - Synthetic Section 04-16,TCH-003,Teacher 03,Period 4,13,18,standard,-0.2,0.2
2028-2029,3,Y03-SEC-017,MATH-PRECALC,Precalculus - Synthetic Section 04-17,TCH-004,Teacher 04,Period 4,13,18,standard,-0.1,-0.1
2028-2029,3,Y03-SEC-018,MATH-PRECALC,Precalculus - Synthetic Section 04-18,TCH-003,Teacher 03,Period 5,12,12,small,0.0,0.2
2028-2029,3,Y03-SEC-019,MATH-AP-CALC-AB,AP Calculus AB - Synthetic Section 04-19,TCH-005,Teacher 05,Period 1,14,18,standard,0.1,0.05
2028-2029,3,Y03-SEC-020,MATH-AP-CALC-AB,AP Calculus AB - Synthetic Section 04-20,TCH-005,Teacher 05,Period 2,14,18,standard,0.2,0.05
2028-2029,3,Y03-SEC-021,MATH-AP-CALC-AB,AP Calculus AB - Synthetic Section 04-21,TCH-005,Teacher 05,Period 3,13,18,standard,0.3,0.05
2028-2029,3,Y03-SEC-022,MATH-AP-CALC-AB,AP Calculus AB - Synthetic Section 04-22,TCH-005,Teacher 05,Period 4,13,18,standard,-0.3,0.05
2028-2029,3,Y03-SEC-023,MATH-AP-CALC-BC,AP Calculus BC - Synthetic Section 04-23,TCH-005,Teacher 05,Period 5,13,18,standard,-0.2,0.05
2028-2029,3,Y03-SEC-024,MATH-AP-CALC-BC,AP Calculus BC - Synthetic Section 04-24,TCH-005,Teacher 05,Period 6,13,18,standard,-0.1,0.05
2028-2029,3,Y03-SEC-025,MATH-BEYOND-CORE,Beyond Core Math Sequence - Synthetic Section 04-25,TCH-004,Teacher 04,Period 5,6,6,micro,0.0,-0.1
2029-2030,4,Y04-SEC-001,MATH-ALG1,Algebra 1 - Synthetic Section 05-01,TCH-001,Teacher 01,Period 1,10,12,small,-0.3,-0.25
2029-2030,4,Y04-SEC-002,MATH-ALG1,Algebra 1 - Synthetic Section 05-02,TCH-001,Teacher 01,Period 2,9,12,small,-0.2,-0.25
2029-2030,4,Y04-SEC-003,MATH-GEOM,Geometry - Synthetic Section 05-03,TCH-002,Teacher 02,Period 1,13,18,standard,-0.1,0.1
2029-2030,4,Y04-SEC-004,MATH-GEOM,Geometry - Synthetic Section 05-04,TCH-002,Teacher 02,Period 2,13,18,standard,0.0,0.1
2029-2030,4,Y04-SEC-005,MATH-GEOM,Geometry - Synthetic Section 05-05,TCH-001,Teacher 01,Period 3,13,18,standard,0.1,-0.25
2029-2030,4,Y04-SEC-006,MATH-GEOM,Geometry - Synthetic Section 05-06,TCH-002,Teacher 02,Period 3,13,18,standard,0.2,0.1
2029-2030,4,Y04-SEC-007,MATH-GEOM,Geometry - Synthetic Section 05-07,TCH-001,Teacher 01,Period 4,13,18,standard,0.3,-0.25
2029-2030,4,Y04-SEC-008,MATH-ALG2,Algebra 2 - Synthetic Section 05-08,TCH-002,Teacher 02,Period 4,13,18,standard,-0.3,0.1
2029-2030,4,Y04-SEC-009,MATH-ALG2,Algebra 2 - Synthetic Section 05-09,TCH-002,Teacher 02,Period 5,13,18,standard,-0.2,0.1
2029-2030,4,Y04-SEC-010,MATH-ALG2,Algebra 2 - Synthetic Section 05-10,TCH-002,Teacher 02,Period 6,13,18,standard,-0.1,0.1
2029-2030,4,Y04-SEC-011,MATH-ALG2-H,Honors Algebra 2 - Synthetic Section 05-11,TCH-003,Teacher 03,Period 1,12,12,small,0.0,0.2
2029-2030,4,Y04-SEC-012,MATH-ALG2-H,Honors Algebra 2 - Synthetic Section 05-12,TCH-003,Teacher 03,Period 2,11,12,small,0.1,0.2
2029-2030,4,Y04-SEC-013,MATH-ALG2-H,Honors Algebra 2 - Synthetic Section 05-13,TCH-003,Teacher 03,Period 3,11,12,small,0.2,0.2
2029-2030,4,Y04-SEC-014,MATH-AP-PRECALC,AP Precalculus - Synthetic Section 05-14,TCH-004,Teacher 04,Period 1,11,12,small,0.3,-0.1
2029-2030,4,Y04-SEC-015,MATH-AP-PRECALC,AP Precalculus - Synthetic Section 05-15,TCH-004,Teacher 04,Period 2,11,12,small,-0.3,-0.1
2029-2030,4,Y04-SEC-016,MATH-AP-PRECALC,AP Precalculus - Synthetic Section 05-16,TCH-004,Teacher 04,Period 3,10,12,small,-0.2,-0.1
2029-2030,4,Y04-SEC-017,MATH-PRECALC,Precalculus - Synthetic Section 05-17,TCH-003,Teacher 03,Period 4,12,12,small,-0.1,0.2
2029-2030,4,Y04-SEC-018,MATH-PRECALC,Precalculus - Synthetic Section 05-18,TCH-004,Teacher 04,Period 4,11,12,small,0.0,-0.1
2029-2030,4,Y04-SEC-019,MATH-PRECALC,Precalculus - Synthetic Section 05-19,TCH-003,Teacher 03,Period 5,11,12,small,0.1,0.2
2029-2030,4,Y04-SEC-020,MATH-AP-CALC-AB,AP Calculus AB - Synthetic Section 05-20,TCH-005,Teacher 05,Period 1,11,12,small,0.2,0.05
2029-2030,4,Y04-SEC-021,MATH-AP-CALC-AB,AP Calculus AB - Synthetic Section 05-21,TCH-005,Teacher 05,Period 2,11,12,small,0.3,0.05
2029-2030,4,Y04-SEC-022,MATH-AP-CALC-AB,AP Calculus AB - Synthetic Section 05-22,TCH-005,Teacher 05,Period 3,11,12,small,-0.3,0.05
2029-2030,4,Y04-SEC-023,MATH-AP-CALC-AB,AP Calculus AB - Synthetic Section 05-23,TCH-005,Teacher 05,Period 4,10,12,small,-0.2,0.05
2029-2030,4,Y04-SEC-024,MATH-AP-CALC-BC,AP Calculus BC - Synthetic Section 05-24,TCH-005,Teacher 05,Period 5,9,12,small,-0.1,0.05
2029-2030,4,Y04-SEC-025,MATH-AP-CALC-BC,AP Calculus BC - Synthetic Section 05-25,TCH-005,Teacher 05,Period 6,8,12,small,0.0,0.05
2029-2030,4,Y04-SEC-026,MATH-BEYOND-CORE,Beyond Core Math Sequence - Synthetic Section 05-26,TCH-004,Teacher 04,Period 5,4,6,micro,0.1,-0.1
2030-2031,5,Y05-SEC-001,MATH-ALG1,Algebra 1 - Synthetic Section 06-01,TCH-001,Teacher 01,Period 1,13,18,standard,-0.3,-0.25
2030-2031,5,Y05-SEC-002,MATH-GEOM,Geometry - Synthetic Section 06-02,TCH-002,Teacher 02,Period 1,13,18,standard,-0.2,0.1
2030-2031,5,Y05-SEC-003,MATH-GEOM,Geometry - Synthetic Section 06-03,TCH-001,Teacher 01,Period 2,13,18,standard,-0.1,-0.25
2030-2031,5,Y05-SEC-004,MATH-GEOM,Geometry - Synthetic Section 06-04,TCH-002,Teacher 02,Period 2,13,18,standard,0.0,0.1
2030-2031,5,Y05-SEC-005,MATH-GEOM,Geometry - Synthetic Section 06-05,TCH-001,Teacher 01,Period 3,12,12,small,0.1,-0.25
2030-2031,5,Y05-SEC-006,MATH-ALG2,Algebra 2 - Synthetic Section 06-06,TCH-002,Teacher 02,Period 3,12,12,small,0.2,0.1
2030-2031,5,Y05-SEC-007,MATH-ALG2,Algebra 2 - Synthetic Section 06-07,TCH-002,Teacher 02,Period 4,11,12,small,0.3,0.1
2030-2031,5,Y05-SEC-008,MATH-ALG2,Algebra 2 - Synthetic Section 06-08,TCH-002,Teacher 02,Period 5,11,12,small,-0.3,0.1
2030-2031,5,Y05-SEC-009,MATH-ALG2,Algebra 2 - Synthetic Section 06-09,TCH-002,Teacher 02,Period 6,11,12,small,-0.2,0.1
2030-2031,5,Y05-SEC-010,MATH-ALG2-H,Honors Algebra 2 - Synthetic Section 06-10,TCH-003,Teacher 03,Period 1,11,12,small,-0.1,0.2
2030-2031,5,Y05-SEC-011,MATH-ALG2-H,Honors Algebra 2 - Synthetic Section 06-11,TCH-003,Teacher 03,Period 2,11,12,small,0.0,0.2
2030-2031,5,Y05-SEC-012,MATH-ALG2-H,Honors Algebra 2 - Synthetic Section 06-12,TCH-003,Teacher 03,Period 3,10,12,small,0.1,0.2
2030-2031,5,Y05-SEC-013,MATH-AP-PRECALC,AP Precalculus - Synthetic Section 06-13,TCH-004,Teacher 04,Period 1,12,12,small,0.2,-0.1
2030-2031,5,Y05-SEC-014,MATH-AP-PRECALC,AP Precalculus - Synthetic Section 06-14,TCH-004,Teacher 04,Period 2,12,12,small,0.3,-0.1
2030-2031,5,Y05-SEC-015,MATH-AP-PRECALC,AP Precalculus - Synthetic Section 06-15,TCH-004,Teacher 04,Period 3,12,12,small,-0.3,-0.1
2030-2031,5,Y05-SEC-016,MATH-PRECALC,Precalculus - Synthetic Section 06-16,TCH-003,Teacher 03,Period 4,13,18,standard,-0.2,0.2
2030-2031,5,Y05-SEC-017,MATH-PRECALC,Precalculus - Synthetic Section 06-17,TCH-004,Teacher 04,Period 4,13,18,standard,-0.1,-0.1
2030-2031,5,Y05-SEC-018,MATH-PRECALC,Precalculus - Synthetic Section 06-18,TCH-003,Teacher 03,Period 5,13,18,standard,0.0,0.2
2030-2031,5,Y05-SEC-019,MATH-AP-CALC-AB,AP Calculus AB - Synthetic Section 06-19,TCH-005,Teacher 05,Period 1,12,12,small,0.1,0.05
2030-2031,5,Y05-SEC-020,MATH-AP-CALC-AB,AP Calculus AB - Synthetic Section 06-20,TCH-005,Teacher 05,Period 2,11,12,small,0.2,0.05
2030-2031,5,Y05-SEC-021,MATH-AP-CALC-AB,AP Calculus AB - Synthetic Section 06-21,TCH-005,Teacher 05,Period 3,11,12,small,0.3,0.05
2030-2031,5,Y05-SEC-022,MATH-AP-CALC-AB,AP Calculus AB - Synthetic Section 06-22,TCH-005,Teacher 05,Period 4,11,12,small,-0.3,0.05
2030-2031,5,Y05-SEC-023,MATH-AP-CALC-BC,AP Calculus BC - Synthetic Section 06-23,TCH-005,Teacher 05,Period 5,11,12,small,-0.2,0.05
2030-2031,5,Y05-SEC-024,MATH-AP-CALC-BC,AP Calculus BC - Synthetic Section 06-24,TCH-005,Teacher 05,Period 6,10,12,small,-0.1,0.05
2030-2031,5,Y05-SEC-025,MATH-BEYOND-CORE,Beyond Core Math Sequence - Synthetic Section 06-25,TCH-004,Teacher 04,Period 5,5,6,micro,0.0,-0.1
2031-2032,6,Y06-SEC-001,MATH-ALG1,Algebra 1 - Synthetic Section 07-01,TCH-001,Teacher 01,Period 1,13,18,standard,-0.3,-0.25
2031-2032,6,Y06-SEC-002,MATH-GEOM,Geometry - Synthetic Section 07-02,TCH-002,Teacher 02,Period 1,12,12,small,-0.2,0.1
2031-2032,6,Y06-SEC-003,MATH-GEOM,Geometry - Synthetic Section 07-03,TCH-001,Teacher 01,Period 2,12,12,small,-0.1,-0.25
2031-2032,6,Y06-SEC-004,MATH-GEOM,Geometry - Synthetic Section 07-04,TCH-002,Teacher 02,Period 2,12,12,small,0.0,0.1
2031-2032,6,Y06-SEC-005,MATH-GEOM,Geometry - Synthetic Section 07-05,TCH-001,Teacher 01,Period 3,12,12,small,0.1,-0.25
2031-2032,6,Y06-SEC-006,MATH-ALG2,Algebra 2 - Synthetic Section 07-06,TCH-002,Teacher 02,Period 3,12,12,small,0.2,0.1
2031-2032,6,Y06-SEC-007,MATH-ALG2,Algebra 2 - Synthetic Section 07-07,TCH-002,Teacher 02,Period 4,12,12,small,0.3,0.1
2031-2032,6,Y06-SEC-008,MATH-ALG2,Algebra 2 - Synthetic Section 07-08,TCH-002,Teacher 02,Period 5,12,12,small,-0.3,0.1
2031-2032,6,Y06-SEC-009,MATH-ALG2-H,Honors Algebra 2 - Synthetic Section 07-09,TCH-003,Teacher 03,Period 1,14,18,standard,-0.2,0.2
2031-2032,6,Y06-SEC-010,MATH-ALG2-H,Honors Algebra 2 - Synthetic Section 07-10,TCH-003,Teacher 03,Period 2,14,18,standard,-0.1,0.2
2031-2032,6,Y06-SEC-011,MATH-AP-PRECALC,AP Precalculus - Synthetic Section 07-11,TCH-004,Teacher 04,Period 1,12,12,small,0.0,-0.1
2031-2032,6,Y06-SEC-012,MATH-AP-PRECALC,AP Precalculus - Synthetic Section 07-12,TCH-004,Teacher 04,Period 2,11,12,small,0.1,-0.1
2031-2032,6,Y06-SEC-013,MATH-AP-PRECALC,AP Precalculus - Synthetic Section 07-13,TCH-004,Teacher 04,Period 3,11,12,small,0.2,-0.1
2031-2032,6,Y06-SEC-014,MATH-PRECALC,Precalculus - Synthetic Section 07-14,TCH-003,Teacher 03,Period 3,12,12,small,0.3,0.2
2031-2032,6,Y06-SEC-015,MATH-PRECALC,Precalculus - Synthetic Section 07-15,TCH-003,Teacher 03,Period 4,11,12,small,-0.3,0.2
2031-2032,6,Y06-SEC-016,MATH-PRECALC,Precalculus - Synthetic Section 07-16,TCH-004,Teacher 04,Period 4,11,12,small,-0.2,-0.1
2031-2032,6,Y06-SEC-017,MATH-PRECALC,Precalculus - Synthetic Section 07-17,TCH-003,Teacher 03,Period 5,11,12,small,-0.1,0.2
2031-2032,6,Y06-SEC-018,MATH-AP-CALC-AB,AP Calculus AB - Synthetic Section 07-18,TCH-005,Teacher 05,Period 1,14,18,standard,0.0,0.05
